Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 24.92   | dist2path{60.45}>thresh_dist{4.00}  | +x       -y       +x       -y       -y       +y       +0       +z       +z       -x       +y       -y       +y       +z       +x       +x       -y       -y       -y       +z       -y       +x       +y       +y       +x       +y       +z       +0       -x       +z       +0       +x       +z       -y       +y       -x       +z
        |         |                                     | -0.50    -0.28    0.34     0.26     0.15     -0.01    -0.50    -0.08    0.18     -0.49    -0.64    -0.79    -0.58    -0.25    0.45     1.34     2.07     1.46     1.24     1.49     1.11     1.49     1.88     2.14     2.82     3.49     3.72     -0.44    2.91     2.48     -0.48    2.13     2.61     1.73     1.64     0.84     -10.00

E2      | -34.73  | dist2path{62.66}>thresh_dist{4.00}  | -z       -z       -x       +z       +y       -x       +0       +y       -z       +z       +y
        |         |                                     | -0.50    -0.96    -1.47    -2.32    -2.31    -3.37    -0.53    -4.14    -4.68    -4.45    -10.00

E3      | -32.93  | dist2path{62.18}>thresh_dist{4.00}  | +y       +x       -y       +x       -z       -x       -x       -x       +0       +y       +z       +z       +x       -z       -x
        |         |                                     | -0.50    -0.29    -0.65    -0.32    0.03     -0.90    -2.56    -3.19    -0.55    -3.45    -3.43    -2.89    -2.04    -2.20    -10.00

E4      | -77.30  | dist2path{61.47}>thresh_dist{4.00}  | +z       -z       +z       +z       +0       +z       +0       -z       -x       +z       -z       -y       +z       -x       -x       +0       -x       +0       +x       +0       -x       +y       +0       +y       +z       -y       -x       -x       +x
        |         |                                     | -0.50    -0.79    -1.18    -2.02    -0.52    -1.53    -0.52    -1.45    -1.86    -1.69    -1.71    -1.70    -1.44    -2.01    -2.85    -0.54    -3.85    -0.57    -3.51    -0.52    -3.22    -4.92    -0.57    -4.89    -4.98    -5.05    -5.84    -7.09    -10.00

E5      | -48.49  | dist2path{62.64}>thresh_dist{4.00}  | +y       +0       -x       +0       -y       -x       +x       +0       +z       +0       +z       -x       -y       -y       +x       +z       +z       -y       +x       +0       -z       +x       -x       -y       +y       +y       +z       +y       +z       -z       +0       +z       -z       +x       -z       -z       -y       +x       -z       +0       +x       +z       +0       -x       +0       +y       +x       -z       +0       +y       -z       +0       +x       +y       +0       +y       +y       -y       -x       -x       -y       -x       -y       +z       -y       -z       -x       +z       -y       +y       +0       -z       +x       -x       +0       -y       +y       -x       -x       -z
        |         |                                     | -0.50    -0.50    -1.45    -0.51    -2.30    -3.99    -4.00    -0.53    -3.57    -0.55    -3.19    -3.82    -3.60    -2.09    -1.31    -0.83    -0.46    -0.43    0.19     -0.49    0.03     0.55     0.03     -0.41    -0.18    -0.30    -0.04    0.13     -0.16    -0.57    -0.50    -0.86    -1.01    -0.38    0.25     0.12     -0.29    0.19     0.14     -0.50    0.85     1.32     -0.48    0.44     -0.50    0.24     0.70     1.07     -0.47    1.43     1.88     -0.46    2.80     3.36     -0.44    3.65     3.88     3.48     2.51     1.31     0.72     -0.27    -0.74    -0.42    -0.61    -0.91    -1.84    -1.64    -1.88    -1.68    -0.51    -2.17    -1.32    -1.97    -0.51    -2.31    -2.14    -3.06    -4.07    -10.00

E6      | -28.51  | dist2path{62.03}>thresh_dist{4.00}  | -x       +y       -z       -y       +y       +y       +x       +y       -y       -y       -z
        |         |                                     | -0.50    -1.47    -1.80    -2.14    -2.15    -2.38    -1.98    -1.85    -2.13    -2.11    -10.00

E7      | -48.77  | dist2path{60.77}>thresh_dist{4.00}  | +y       +x       -x       -x       -x       +z       +y       +z       -z       -x       +y       +x       -y       +x       -x       +0       -x
        |         |                                     | -0.50    -0.31    -0.98    -2.00    -3.03    -3.24    -3.17    -2.96    -3.06    -3.76    -4.02    -3.40    -3.01    -2.19    -2.61    -0.54    -10.00

E8      | -24.40  | dist2path{64.72}>thresh_dist{4.00}  | +x       -z       -x       +0       +z       +x       -x       +x       +y       -z       -y       +0       -z       -x
        |         |                                     | -0.50    -0.21    -1.65    -0.53    -3.28    -1.10    -1.62    -1.33    -0.39    -0.86    -1.01    -0.51    -1.42    -10.00

E9      | -59.20  | dist2path{62.12}>thresh_dist{4.00}  | -y       -x       +z       +z       -x       -x       +x       +x       +y       +0       -z       -x       -x       +y       +z       -x       +0       -x       +0       -z       +0       -z
        |         |                                     | -0.50    -1.36    -1.34    -0.91    -1.79    -3.33    -2.97    -2.04    -1.37    -0.51    -1.42    -2.40    -3.78    -3.95    -3.73    -4.41    -0.57    -5.50    -0.58    -6.21    -0.54    -10.00

