Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -57.93  | dist2path{73.19}>thresh_dist{4.00}  | +z       +y       -x       +z       -x       -z       +x       +0       +z       -y       +x       +y       -x
        |         |                                     | -0.50    -4.77    -12.58   16.29    6.44     24.38    40.59    0.81     -46.54   -23.97   -17.81   -30.26   -10.00

E2      | -50.32  | dist2path{91.72}>thresh_dist{4.00}  | -x       -y       -y       -z       -y
        |         |                                     | -0.50    -5.88    -12.33   -21.62   -10.00

E3      | -35.42  | dist2path{90.21}>thresh_dist{4.00}  | +0       +y       -y       -y
        |         |                                     | -0.50    -0.73    -24.19   -10.00

E4      | -22.48  | dist2path{95.56}>thresh_dist{4.00}  | +0       -x       -y       +z
        |         |                                     | -0.50    -0.67    -11.32   -10.00

E5      | -10.38  | dist2path{68.77}>thresh_dist{4.00}  | -x       +y       +z       +y
        |         |                                     | -0.50    -0.57    0.69     -10.00

E6      | -1.35   | dist2path{88.20}>thresh_dist{4.00}  | +y       +x       +0       +x
        |         |                                     | -0.50    -0.60    9.74     -10.00

E7      | 24.48   | dist2path{73.05}>thresh_dist{4.00}  | -y       +x       +0       +y       +z       -y       +z
        |         |                                     | -0.50    -0.60    32.44    -10.41   5.87     7.69     -10.00

E8      | 62.93   | dist2path{74.32}>thresh_dist{4.00}  | +z       +z       +z       -y       -z       -y
        |         |                                     | -0.50    -0.59    36.77    30.36    6.89     -10.00

E9      | 58.11   | dist2path{95.86}>thresh_dist{4.00}  | +z       +z       +x       +z       +z       -z       +z
        |         |                                     | -0.50    -0.55    39.32    36.97    16.60    -23.73   -10.00

E10     | 64.17   | dist2path{91.82}>thresh_dist{4.00}  | +z       +y       +x       +x       -x       -z       +y
        |         |                                     | -0.50    -0.57    41.06    39.64    21.91    -27.37   -10.00

E11     | 77.07   | dist2path{71.36}>thresh_dist{4.00}  | +z       +0       +x       +0       -x       +y
        |         |                                     | -0.50    -0.65    44.47    39.28    4.47     -10.00

E12     | 79.38   | dist2path{68.03}>thresh_dist{4.00}  | -x       +x       +0       -y       +y       +x
        |         |                                     | -0.50    -0.56    42.54    46.62    1.28     -10.00

E13     | 80.00   | dist2path{67.11}>thresh_dist{4.00}  | +0       +x       +0       +x       -y       +z
