Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 165.94  | reached destination                 | -y       +x       -z       -x       -x       +x       +0       +y       -z       +0       +0       +z       +0       -z       -x       +y       -y       +z       +x       -z       +0       +y       -y       +y       -x       +x       -y       -y       -y       -y       +0       +y       +y       -z       +x       +z       +z       -x       -y       -y       -y       +y       +y       +0       +0       +z       -x       +x       -x       -y       -y       +z       -y       +0       +z       +x       +z       -y       +x       +z       +z
        |         |                                     | -0.12    1.59     -1.02    1.36     1.43     1.58     1.58     1.40     1.29     1.29     1.30     1.23     1.23     -0.85    1.12     1.34     -0.62    1.28     1.37     1.48     1.49     1.56     -0.63    1.61     1.72     1.84     1.38     1.25     -1.11    0.94     1.02     1.32     1.87     1.69     1.66     1.67     1.53     1.66     -1.60    1.68     0.79     1.58     1.12     1.13     1.15     1.46     1.62     1.69     1.64     -1.62    1.04     1.24     1.75     1.75     1.58     1.61     1.46     -0.50    1.85     1.77     100.00

E2      | -8.21   | too far from path                   | -x       -x       +y
        |         |                                     | -0.07    1.86     -10.00

E3      | -8.45   | too far from path                   | +x       -y       +x
        |         |                                     | -0.14    1.69     -10.00

E4      | -8.27   | too far from path                   | +x       -z       +z
        |         |                                     | -0.12    1.86     -10.00

