Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 7.23    | too far from path                   | +y       +0       +x       +x       +z       -y       -x       +y       -z       +z       +z       +z       +y       -x       -x       +x       +y       +z
        |         |                                     | -0.13    1.87     -0.81    1.57     1.22     1.24     1.30     1.34     1.27     1.48     1.50     1.48     1.31     1.28     1.23     1.16     -1.09    -10.00

E2      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E3      | 24.06   | too far from path                   | +y       +x       -z       +x       +y       +y       +x       +0       -z       -z       -z       -y       -y       +x       -z       -x       +y       +z       +0       -x       +y       +0       -z       +x       +y       -z       +0       +x       -y       +0       +y       +z       +x       +y       +y
        |         |                                     | -0.06    1.72     1.84     -1.18    -0.28    1.75     1.75     1.76     1.92     1.63     1.55     1.60     1.63     1.54     1.43     1.39     1.24     1.20     1.20     -0.42    -1.26    -1.27    0.87     0.85     0.92     0.98     0.99     1.02     1.17     1.18     1.17     1.32     1.40     1.51     -10.00

E4      | 62.49   | too far from path                   | +y       +0       +x       +z       +x       +0       -x       +y       -x       +z       +0       +y       -z       +y       +x       -z       +y       -z       -z       +z       +0       -y       -y       -y       -y       -z       -x       -y       -x       +y       -z       -z       -x       +x       +y       +x       +z       +y       +0       -x       -y       +y       -x       +y       +x       +z       +0       +x       +0       -y       +y       -z       +0       +z       -y       -x       -x       -z       -z       +z       -z       +0       -z       +0       -z       -z       +z       -x       +0       -z       +z       -z       -x       -y       +y       -x       -y       -z       -y       +y
        |         |                                     | -0.03    -0.05    1.83     1.89     -1.30    -1.26    -0.20    1.89     1.82     1.82     1.84     1.72     1.65     1.49     1.43     1.34     1.22     1.18     1.14     1.16     1.15     1.20     -1.04    -1.55    0.55     0.61     0.75     0.88     1.01     1.06     1.18     1.26     1.47     1.56     -0.12    1.65     1.69     1.66     1.66     1.51     1.40     1.42     1.28     1.31     1.27     1.18     -1.45    -0.69    -0.73    1.13     1.06     1.16     1.17     1.27     1.41     1.41     1.44     1.56     1.61     1.83     1.78     1.79     1.76     -0.24    -1.00    0.48     -1.51    0.52     0.52     0.55     0.71     0.83     0.94     1.10     1.37     1.52     1.79     1.72     -0.94    -10.00

E5      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E6      | -100.00 | collision                           | -z
        |         |                                     | -100.00

E7      | -100.00 | collision                           | -y
        |         |                                     | -100.00

E8      | -100.00 | collision                           | +z
        |         |                                     | -100.00

E9      | 187.38  | reached destination                 | -z       -x       +z       -z       -x       +x       +0       +0       -x       +z       -y       +0       -x       +x       +y       +z       +0       +x       +0       -z       -x       +x       +0       +0       -x       +z       -y       +x       +z       +x       +0       -x       +y       -x       +x       +0       -z       +y       -x       -y       -z       +0       +x       -y       +0       +y       +y       -z       -x       -x       -x       +0       +0       +y       -x       +x       +z       +z       -y       -x       -x       -x       +z       -y       -x       +z       -y       +x       -y       +z       -x       +x       +z       -y       -x       -z       +z       +z       -y       +x       -x       -z
        |         |                                     | -0.01    1.80     1.88     -1.09    -0.19    1.38     1.37     1.38     1.49     1.66     1.66     1.67     1.68     1.62     1.44     1.40     1.37     1.26     1.24     1.17     -0.97    -1.44    0.71     0.81     0.91     0.97     1.13     1.18     1.33     1.45     1.53     -0.12    1.92     1.78     1.81     1.76     1.56     1.57     1.37     1.25     1.20     1.18     -0.86    1.06     1.01     1.03     1.13     1.22     1.28     1.36     1.46     1.51     1.56     1.75     1.87     -1.02    1.05     1.21     1.24     1.37     1.43     1.52     1.56     1.70     1.81     1.62     -0.50    -1.34    0.82     0.52     0.69     0.50     0.70     0.74     0.95     1.04     1.16     1.28     1.42     1.56     1.92     100.00

