Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 31.31   | too far from path                   | -z       -z       +0       +y       -y       -x       +y       -z       +0       -z       -z       +0       -y       +0       +0       +x       +0       +z       +z       +z       +z       -z       -z       +0       +0       -x       -x       -y       +0       +y       -x       -y       -z       +y       +x       +z       -y       -x       -y       -x       +0       +x
        |         |                                     | -0.05    1.98     1.98     -1.08    1.39     1.38     1.40     1.25     1.26     1.18     1.15     1.15     1.20     1.20     1.19     -1.33    0.70     0.99     1.76     1.26     1.13     1.49     1.40     1.42     1.43     1.62     1.92     1.89     1.90     -0.28    0.73     0.96     0.77     1.00     1.11     1.15     1.17     -1.45    0.48     0.73     0.77     -10.00

E2      | -6.44   | too far from path                   | +0       -x       +y       +z
        |         |                                     | -0.00    1.91     1.65     -10.00

E3      | -6.40   | too far from path                   | +0       +y       +y       +x
        |         |                                     | -0.01    1.88     1.73     -10.00

E4      | -8.38   | too far from path                   | -x       -y       -x
        |         |                                     | -0.08    1.70     -10.00

E5      | -8.48   | too far from path                   | +y       -y       -y
        |         |                                     | -0.11    1.64     -10.00

E6      | -6.52   | too far from path                   | -x       +0       +y       -x
        |         |                                     | -0.09    1.91     1.65     -10.00

E7      | -6.22   | too far from path                   | +x       +z       +z
        |         |                                     | 1.91     1.86     -10.00

E8      | -8.47   | too far from path                   | +x       +y       -y
        |         |                                     | -0.09    1.62     -10.00

E9      | -8.31   | too far from path                   | +x       +x       +x
        |         |                                     | -0.09    1.77     -10.00

E10     | -8.19   | too far from path                   | -x       +z       -x
        |         |                                     | -0.09    1.90     -10.00

E11     | -4.42   | too far from path                   | +y       +0       +z       +0       -z
        |         |                                     | -0.11    1.88     1.91     1.91     -10.00

E12     | -8.30   | too far from path                   | +x       -y       +z
        |         |                                     | -0.02    1.72     -10.00

E13     | -4.30   | too far from path                   | +0       -y       +0       -y       -x
        |         |                                     | -0.04    1.95     1.95     1.84     -10.00

E14     | -8.37   | too far from path                   | +x       -y       -z
        |         |                                     | -0.09    1.72     -10.00

E15     | -2.34   | too far from path                   | +0       -z       +0       +0       -y       +y
        |         |                                     | -0.00    1.98     1.98     1.98     1.73     -10.00

E16     | -8.43   | too far from path                   | -x       +y       -z
        |         |                                     | -0.08    1.65     -10.00

E17     | -8.34   | too far from path                   | -z       +x       -z
        |         |                                     | -0.03    1.69     -10.00

E18     | -6.33   | too far from path                   | +0       -x       -x       -y
        |         |                                     | -0.00    1.91     1.76     -10.00

E19     | -4.73   | too far from path                   | +x       +x       +0       +0       +y
        |         |                                     | -0.09    1.78     1.79     1.79     -10.00

E20     | -6.37   | too far from path                   | -z       +0       +x       +y
        |         |                                     | -0.03    1.97     1.70     -10.00

E21     | -6.36   | too far from path                   | +0       -z       -x       -z
        |         |                                     | -0.01    1.97     1.68     -10.00

E22     | -6.10   | too far from path                   | +0       +z       -z       -y
        |         |                                     | -0.00    1.97     1.94     -10.00

E23     | -8.37   | too far from path                   | +x       -y       -z
        |         |                                     | -0.09    1.72     -10.00

E24     | -8.09   | too far from path                   | -z       +z       +y
        |         |                                     | -0.03    1.95     -10.00

E25     | -8.10   | too far from path                   | +z       +z       -z
        |         |                                     | -0.03    1.93     -10.00

E26     | -4.50   | too far from path                   | +y       +0       +0       +z       -x
        |         |                                     | -0.11    1.88     1.88     1.85     -10.00

E27     | -6.35   | too far from path                   | +z       +x       -z
        |         |                                     | 1.97     1.68     -10.00

E28     | -8.10   | too far from path                   | +z       +z       +z
        |         |                                     | -0.03    1.93     -10.00

E29     | -8.10   | too far from path                   | +z       -z       -z
        |         |                                     | -0.04    1.94     -10.00

E30     | -8.47   | too far from path                   | -x       +x       -y
        |         |                                     | -0.08    1.61     -10.00

E31     | -8.38   | too far from path                   | -z       +y       -y
        |         |                                     | -0.03    1.65     -10.00

E32     | -4.43   | too far from path                   | +0       +z       +0       +y       +y
        |         |                                     | -0.01    1.97     1.97     1.65     -10.00

E33     | -8.38   | too far from path                   | -y       +x       +y
        |         |                                     | -0.04    1.66     -10.00

E34     | -8.09   | too far from path                   | -z       +z       -z
        |         |                                     | -0.03    1.94     -10.00

E35     | -8.31   | too far from path                   | -z       -y       -z
        |         |                                     | -0.03    1.73     -10.00

E36     | -6.40   | too far from path                   | +0       -y       +x       +y
        |         |                                     | -0.00    1.95     1.65     -10.00

E37     | -4.71   | too far from path                   | -z       +0       -x       +0       +x
        |         |                                     | -0.03    1.97     1.68     1.68     -10.00

E38     | -4.25   | too far from path                   | -y       +0       -z       -z
        |         |                                     | 1.96     1.96     1.84     -10.00

E39     | -8.19   | too far from path                   | -x       +z       -z
        |         |                                     | -0.09    1.90     -10.00

E40     | -8.20   | too far from path                   | -y       +z       +z
        |         |                                     | -0.04    1.85     -10.00

