Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -225.77 | dist2path{65.85}>thresh_dist{4.00}  | -z       +0       -z       +0       +x       +y       -z       +z       +y       +0       +y       -y       -y       -x       +y       +z       -x       +y       +x       +0       +x       -z       -z       +y       +x       -y       -x       -x       +y       -z       -y       -y       +z       +y       -z       +0       -y       -z       +0       -y       +y       -x       +y       -y       -x       -z       +z       -y       -z       -z       +x       -y
        |         |                                     | -5.50    -5.48    -5.41    -5.51    -0.49    -0.62    -3.78    0.96     4.86     -4.50    4.79     5.05     5.01     4.69     4.29     4.03     3.33     2.38     -0.00    -5.23    -4.48    -9.01    -3.60    -1.21    0.23     -2.88    1.09     -1.46    -7.81    -13.07   -14.84   -15.84   -16.10   -16.49   -16.61   -6.79    -15.33   -5.03    -0.58    0.36     -2.61    5.64     0.80     -2.18    -0.85    -3.16    -5.89    -12.48   -16.44   -15.96   -16.00   -10.00

E2      | -85.29  | dist2path{65.41}>thresh_dist{4.00}  | -z       +0       +0       +x       -x       -y       +0       -y       -x       +y       -z       +x       +0       -y       +z       +0       +z
        |         |                                     | -0.50    -0.49    -0.48    -4.98    -5.83    -0.64    -0.51    -0.70    -6.30    -6.74    -7.96    -8.57    -5.87    -9.52    -10.09   -6.11    -10.00

E3      | -75.27  | dist2path{60.88}>thresh_dist{4.00}  | +z       +z       -z       -x       +x       -z       +x       +y       +x       +y       -z       +0       -y
        |         |                                     | -0.50    -5.41    -5.29    -5.77    -0.47    -0.70    -5.94    -7.29    -8.53    -9.32    -10.13   -5.92    -10.00

E4      | -85.12  | dist2path{65.77}>thresh_dist{4.00}  | -y       +0       +y       +0       -z       +y       -x       -y       +z       +y       +y       -x       +0       +0       -z       +z       +x
        |         |                                     | -0.50    -0.49    -5.31    -5.48    -5.47    -0.68    -1.13    -1.01    -0.80    -6.36    -7.54    -9.02    -5.97    -5.86    -9.31    -10.21   -10.00

E5      | -83.13  | dist2path{61.01}>thresh_dist{4.00}  | +0       +x       +x       +0       -x       +0       -y       +x       +0       -x       -y       +y       +z       -y       +y       +y       +z
        |         |                                     | -0.50    -0.45    -4.80    -5.48    -6.00    -5.51    -5.55    -0.50    -0.51    -0.90    -0.68    -6.38    -7.53    -8.85    -9.24    -10.24   -10.00

E6      | -93.15  | dist2path{64.45}>thresh_dist{4.00}  | +z       +y       -x       +0       +x       -z       -y       +y       +0       -z       +0       -z       -y       -x       +z
        |         |                                     | -0.50    -5.31    -5.67    -5.50    -5.28    -0.80    -6.16    -6.52    -5.67    -7.89    -5.79    -8.69    -9.17    -10.21   -10.00

E7      | -70.26  | dist2path{62.11}>thresh_dist{4.00}  | -z       +z       -x       -y       -z       +0       +z       +x       -z       +x       -x       +z       -z
        |         |                                     | -0.50    -5.38    -5.58    -5.52    -0.75    -0.52    -0.76    -5.87    -7.30    -8.42    -9.61    -10.03   -10.00

E8      | -70.21  | dist2path{61.31}>thresh_dist{4.00}  | -x       +y       -x       +y       -x       +z       +x       +y       +z       +z       -z       +z
        |         |                                     | -0.50    -5.45    -5.57    -5.47    -1.15    -0.81    -6.24    -7.39    -8.82    -9.19    -9.63    -10.00

E9      | -84.33  | dist2path{69.62}>thresh_dist{4.00}  | +0       -x       +0       -z       -y       +x       -y       +y       +0       +0       +z       +z       -z       +x       +x       -x
        |         |                                     | -0.50    -0.51    -0.50    -5.39    -5.31    -0.42    -0.80    -5.63    -5.54    -5.54    -6.81    -8.27    -8.88    -9.88    -10.35   -10.00

E10     | -102.02 | dist2path{61.81}>thresh_dist{4.00}  | -z       -z       +0       +x       +0       +x       -x       +0       +0       +0       +0       +x       +y       +0       -z       +y       +0       -y
        |         |                                     | -0.50    -5.29    -5.47    -5.26    -5.50    -0.58    -1.00    -5.61    -5.59    -5.56    -5.60    -7.45    -8.27    -5.98    -9.09    -9.55    -5.70    -10.00

E11     | -73.11  | dist2path{60.28}>thresh_dist{4.00}  | +z       +x       +x       +x       +z       +x       -y       +y       +z       +z       +0       -y       -z
        |         |                                     | -0.50    -5.12    -4.98    -5.40    -0.75    -0.53    -6.20    -6.68    -8.16    -8.98    -6.01    -9.79    -10.00

