Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -222.32 | dist2path{66.38}>thresh_dist{4.00}  | +0       +z       +x       -z       +x       +z       +0       -x       +y       -x       -y       -x       -y       -x       -x       +x       -y       +y       -x       +y       +z       +x       -x       +x       +z       -y       +z       +y       -z       +0       +y       -y       +x       -y       +0       -y       +0       -y       -x       +x       +z       +x       -x       -z       +0       +z       -y       -z       +z       -y       +0       +x
        |         |                                     | -0.50    -0.49    -0.09    -5.22    -5.29    -0.72    -0.51    -0.96    0.24     -1.77    1.15     3.17     4.17     3.87     3.68     4.13     3.85     3.59     2.91     2.59     1.10     -1.39    -5.30    -8.87    -3.61    -2.42    -0.24    2.74     -0.83    -0.47    2.56     -2.62    -0.90    -2.27    -5.48    -7.72    -5.58    -11.90   -13.86   -14.28   -14.96   -14.89   -15.48   -15.53   -5.80    -15.37   -14.98   -15.35   -15.41   -15.34   -5.67    -10.00

E2      | -101.00 | collision                           | +0       -y       +z
        |         |                                     | -0.50    -0.50    -100.00

E3      | -228.79 | dist2path{63.56}>thresh_dist{4.00}  | -x       -x       -z       +z       +0       -z       -z       +0       +x       -x       +x       -z       +z       -y       -y       -x       +z       +0       +z       +0       +y       +y       -y       +y       +y       -x       -x       +0       +0       +z       +z       +x       +y       +y       -z       +y       +y       -y       +x       -y       -z       -x       +0       +y       -x       +0       +z       -z       +0       -z       +x       -x       +y       +z       -y
        |         |                                     | -0.50    -0.77    -5.41    -5.33    -5.50    -5.63    -0.83    -0.50    0.27     -1.55    1.44     3.78     4.22     4.15     3.96     3.91     3.97     -5.38    3.72     -5.34    3.21     2.42     0.48     -1.93    -5.94    -8.79    -2.48    -0.51    -0.52    -0.50    -2.18    4.42     0.76     -0.14    -0.41    0.49     -0.04    -3.59    -5.08    -9.74    -12.97   -14.08   -5.78    -14.66   -15.23   -5.80    -15.15   -15.55   -5.63    -15.49   -15.03   -15.37   -15.41   -15.26   -10.00

E4      | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

