Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -232.57 | dist2path{65.69}>thresh_dist{4.00}  | +z       +y       -y       -z       +z       -y       +z       +x       -x       -y       +z       +y       +z       -y       +0       +y       +0       -x       +0       -y       -x       -z       -x       -x       -x       -x       -y       -y       -z       +x       -z       +x       -z       -x       -x       +x       +0       +x       +0       -y       +y       -x       +y       +x       +x       +0       +y       +y
        |         |                                     | -0.50    -5.35    -5.40    -5.44    -0.70    -0.76    -0.05    -3.78    -0.66    2.24     4.07     4.26     4.08     4.17     -5.33    4.12     -5.33    3.49     -5.22    3.27     2.73     1.60     -0.24    -3.36    -7.00    -2.86    -1.50    -0.49    -3.07    -1.03    -1.72    -5.99    -10.50   -12.93   -14.23   -14.59   -5.62    -14.70   -5.84    -15.18   -15.20   -15.49   -15.11   -15.03   -15.26   -5.80    -15.29   -10.00

E2      | -87.25  | dist2path{61.03}>thresh_dist{4.00}  | +x       -x       +z       -x       -y       -z       -z       +x       +z       +y       +x       +z       +0       +x       +0       +x
        |         |                                     | -0.50    -0.63    -5.53    -5.70    -5.64    -0.80    -0.88    -5.84    -6.43    -7.47    -8.23    -9.05    -5.57    -9.42    -5.58    -10.00

E3      | -77.03  | dist2path{61.45}>thresh_dist{4.00}  | -z       -y       -y       +y       +y       -y       -y       -z       +y       +x       -y       -x       +y       +x       +z
        |         |                                     | -0.50    -0.49    -5.32    -5.30    -5.68    -0.90    -0.70    -0.70    -6.08    -6.55    -7.49    -8.75    -9.06    -9.50    -10.00

E4      | -102.54 | dist2path{69.57}>thresh_dist{4.00}  | +x       -x       -x       -x       +0       +y       +z       -y       +x       +0       +z       -x       +0       +y       -z       -z       +y       -x
        |         |                                     | -0.50    -0.61    -5.78    -5.74    -5.50    -5.59    -0.88    -0.79    -5.67    -5.51    -6.26    -7.47    -5.54    -8.26    -8.95    -9.45    -10.02   -10.00

E5      | -87.41  | dist2path{63.28}>thresh_dist{4.00}  | +x       +y       +z       +0       -z       +y       +y       -z       +x       +z       -z       +y       +0       -z       +y       +z
        |         |                                     | -0.50    -0.33    -5.45    -5.49    -5.36    -5.58    -0.89    -0.90    -5.84    -6.49    -7.64    -8.50    -5.56    -9.18    -9.70    -10.00

E6      | -77.22  | dist2path{60.85}>thresh_dist{4.00}  | +0       +0       -z       +0       -x       +y       +z       -z       -x       +x       -z       +y       -y       -z       -y       +z       -y
        |         |                                     | -0.50    -0.50    -0.49    -0.50    -0.67    -5.42    -5.53    -5.64    -1.01    -0.58    -5.87    -6.64    -7.39    -8.26    -8.81    -9.40    -10.00

E7      | -83.45  | dist2path{64.94}>thresh_dist{4.00}  | +y       +0       +x       +z       +x       -z       +z       -y       -x       -z       -y       +y       +x       +0       +x       +z       -x
        |         |                                     | -0.50    -0.50    -0.15    -5.21    -5.17    -5.63    -0.81    -0.77    -1.42    -6.61    -6.90    -7.54    -8.22    -5.56    -8.81    -9.66    -10.00

E8      | -94.61  | dist2path{69.70}>thresh_dist{4.00}  | -x       +y       -z       +y       -x       +0       -y       -z       -y       +y       +x       -y       -z       +x       +y       +0       +y
        |         |                                     | -0.50    -0.49    -5.30    -5.33    -5.89    -5.51    -0.75    -0.65    -5.95    -6.41    -6.79    -7.94    -8.59    -9.01    -9.84    -5.65    -10.00

E9      | -86.45  | dist2path{60.92}>thresh_dist{4.00}  | +y       -y       +0       +0       -x       +0       +0       +y       -x       +y       +x       +z       -x       +x       +y       -x       +y       +z
        |         |                                     | -0.50    -0.45    -0.49    -0.50    -5.55    -5.50    -5.50    -5.43    -5.91    -0.76    -0.43    -5.60    -6.54    -6.99    -8.08    -8.91    -9.30    -10.00

E10     | -73.84  | dist2path{60.92}>thresh_dist{4.00}  | -x       +z       -z       +x       +x       -z       +y       -y       +z       -y       -y       -z       +x       +z
        |         |                                     | -0.50    -0.55    -5.25    -5.14    -5.42    -0.89    -0.85    -6.07    -6.51    -6.99    -8.00    -8.59    -9.08    -10.00

E11     | -79.15  | dist2path{60.42}>thresh_dist{4.00}  | +z       -x       -z       +0       +x       +y       -y       +z       +x       -z       -x       -z       +z       -y       +x
        |         |                                     | -0.50    -0.70    -5.45    -5.50    -5.16    -5.67    -0.88    -0.59    -5.48    -6.21    -7.24    -8.05    -8.53    -9.20    -10.00

E12     | -91.62  | dist2path{65.03}>thresh_dist{4.00}  | -x       -z       -y       +0       +z       -x       +x       +x       +z       +x       -y       -x       +0       +y       -y       +x       +x
        |         |                                     | -0.50    -0.49    -5.27    -5.50    -5.33    -5.88    -0.48    -0.16    -5.44    -5.46    -6.36    -7.98    -5.59    -8.56    -9.16    -9.47    -10.00

E13     | -94.94  | dist2path{67.96}>thresh_dist{4.00}  | +x       -y       +0       +x       +y       -y       -x       -y       -z       +0       -y       -z       -y       +0       -z       +x       -y       -y
        |         |                                     | -0.50    -0.39    -0.49    -5.06    -5.46    -5.80    -0.96    -0.91    -6.09    -5.54    -6.56    -7.01    -7.78    -5.55    -8.42    -8.84    -9.59    -10.00

E14     | -98.19  | dist2path{66.28}>thresh_dist{4.00}  | +z       -x       -y       -y       -x       +0       +z       -y       +x       -z       +0       +0       +x       -y       +z       -z       +z       +y
        |         |                                     | -0.50    -0.70    -5.50    -5.35    -5.79    -5.51    -0.78    -0.68    -5.42    -5.94    -5.53    -5.51    -6.37    -7.57    -8.40    -9.02    -9.62    -10.00

E15     | -100.04 | dist2path{69.46}>thresh_dist{4.00}  | +y       +z       -x       +0       +x       -y       +y       +0       +x       +z       -z       +0       -z       -y       +0       +z       -z       +x       +z
        |         |                                     | -0.50    -0.46    -5.62    -5.50    -5.14    -5.60    -0.78    -0.51    -0.48    -5.51    -6.12    -5.54    -7.10    -7.97    -5.55    -8.61    -9.33    -9.74    -10.00

E16     | -106.40 | dist2path{69.54}>thresh_dist{4.00}  | +x       +0       +z       -y       +0       +y       +0       +z       +y       +0       +0       +x       -z       -z       +0       +y       -z       +x       -x       +x       +0       +z
        |         |                                     | -0.50    -0.50    -0.38    -5.40    -5.50    -5.31    -5.50    -5.73    -0.81    -0.51    -0.50    -0.44    -5.61    -6.19    -5.53    -6.89    -8.07    -8.40    -9.42    -9.57    -5.64    -10.00

E17     | -85.20  | dist2path{61.39}>thresh_dist{4.00}  | +x       +y       -z       -y       +x       -z       -y       +y       -z       +z       -x       +0       -x       +0       +x       +y
        |         |                                     | -0.50    -0.34    -5.43    -5.48    -5.42    -0.86    -0.83    -5.90    -6.60    -6.95    -8.12    -5.59    -8.66    -5.56    -8.97    -10.00

E18     | -93.75  | dist2path{67.17}>thresh_dist{4.00}  | -z       +0       +x       +0       +z       -z       -y       +y       -x       +z       +x       +0       +x       +0       +x       -y       -y       -z       +x
        |         |                                     | -0.50    -0.50    -0.16    -0.49    -5.20    -5.45    -5.67    -0.73    -1.02    -5.81    -5.92    -5.51    -6.39    -5.56    -7.68    -8.57    -8.98    -9.61    -10.00

