Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -82.08  | dist2path{62.95}>thresh_dist{4.00}  | +z       +z       -y       -z       -z       +y       -z       -y       +z       +z       +0       -x       +z       -x       -y       -z       +z       +0       -y       +x       +x       -x       +y       -z
        |         |                                     | -0.50    -0.38    -5.35    -5.38    -5.73    -6.01    -6.32    -6.55    -6.74    -6.91    -5.54    -1.86    -1.54    -3.73    -0.66    0.08     -2.03    -5.32    0.31     0.53     0.14     -1.26    -1.31    -10.00

E2      | -103.88 | dist2path{64.72}>thresh_dist{4.00}  | -y       -x       +y       -x       +y       +0       -x       +z       +y       -x       -y       +0       -z       -x       +x       +0       -x       +y       -y       +0       +z       +0       +0       -z       +z       +x
        |         |                                     | -0.50    -0.75    -5.46    -5.69    -5.61    -5.50    -6.12    -6.15    -6.39    -6.98    -7.00    -5.52    -2.02    -1.27    -3.36    -5.44    -0.92    0.30     -0.14    -5.31    -0.18    -5.42    -5.42    -1.46    -1.58    -10.00

E3      | -79.37  | dist2path{64.05}>thresh_dist{4.00}  | +y       +x       -y       +0       +x       +0       +z       +y       +x       -x       +z       -y       +y       -z       -z       -x       -x       +y       +x       +x       +z       -x
        |         |                                     | -0.50    -0.20    -5.19    -5.50    -5.11    -5.50    -5.59    -5.89    -5.96    -6.59    -6.64    -6.98    -1.97    -1.16    -3.43    -1.17    0.06     0.16     -0.03    -0.82    -1.38    -10.00

E4      | -100.50 | collision                           | +y       +z
        |         |                                     | -0.50    -100.00

E5      | -84.34  | dist2path{64.53}>thresh_dist{4.00}  | +0       -z       +0       +0       +x       -z       +y       -z       -z       +z       +x       +y       +0       -x       +x       +y       -z       +z       -y       -y       +0       +z       +y       +0       +z       -z       +0       -z       +z       -y       +z       -z       -y       +y       -x       -z       -y       +z       -z       -z       +y
        |         |                                     | -0.50    -0.50    -0.50    -0.50    -0.15    -5.14    -5.42    -5.74    -5.99    -6.21    -6.31    -6.80    -5.53    -7.25    -1.39    -1.42    -3.39    -0.09    -1.45    0.38     -0.49    -0.11    0.51     -0.50    -0.47    0.32     -0.50    -0.62    0.57     -0.71    0.37     -0.72    0.20     -0.35    -3.23    -0.89    -0.09    -0.39    -1.32    -2.06    -10.00

E6      | -79.30  | dist2path{62.88}>thresh_dist{4.00}  | -z       +y       +x       +y       +x       +0       +z       +x       +x       -x       +x       -x       +z       +x       -z       +x       -z       -z       +0       -z       +z
        |         |                                     | -0.50    -0.45    -5.09    -5.26    -5.44    -5.50    -5.81    -5.91    -6.19    -6.88    -6.77    -2.23    -1.03    -2.68    -0.34    0.43     -0.79    -1.17    -5.45    -2.24    -10.00

E7      | -100.00 | collision                           | +x
        |         |                                     | -100.00

E8      | -81.37  | dist2path{65.11}>thresh_dist{4.00}  | +z       -y       +y       -x       -y       -x       -x       +x       +y       +z       -x       +x       -x       +z       +y       -y       +y       +0       -y       +x       +x       +x       -y       -x       +y       +x       +0       -z
        |         |                                     | -0.50    -0.49    -5.26    -5.75    -5.67    -6.05    -6.42    -6.28    -6.72    -7.01    -2.22    -1.33    -2.66    -0.73    1.19     -0.25    -0.03    -0.48    0.18     -4.88    -1.43    0.52     0.15     -0.72    -1.22    -1.87    -5.45    -10.00

E9      | -79.06  | dist2path{61.72}>thresh_dist{4.00}  | +y       +0       +y       -x       +x       +z       +y       +y       +x       -y       +x       -y       +z       +y       +y       -y       +y       -x       +y       +0       +z
        |         |                                     | -0.50    -0.50    -0.42    -5.66    -5.17    -5.55    -5.90    -6.21    -6.25    -6.72    -6.75    -1.98    -5.72    -2.60    -0.45    0.11     -0.42    -1.13    -1.82    -5.44    -10.00

E10     | -80.43  | dist2path{62.84}>thresh_dist{4.00}  | -z       +x       +z       +z       +y       -y       -z       -z       +0       -y       +x       +z       -z       +y       +x       -y       -z       +y       +y       +x
        |         |                                     | -0.50    -0.19    -5.17    -5.43    -5.51    -5.87    -6.06    -6.36    -5.51    -6.71    -6.71    -1.96    -6.20    -3.40    -0.77    -0.10    -0.85    -1.02    -2.10    -10.00

