Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -236.93 | dist2path{62.61}>thresh_dist{4.00}  | -z       -y       -y       +0       +x       -y       +x       -y       -x       +x       +z       -z       -y       +z       +y       -x       +y       -y       +y       +z       +x       +z       +z       +y       -y       -z       +x       +x       -y       +x       +y       -z       +z       +z       +x       +y       -y       +z       +z       +x       -y       +z       +z       -y       +0       +0       -z       +z       +y       -z       -z       +x       +0       +z       -y       -x
        |         |                                     | -0.50    -5.38    -5.32    -5.50    -5.27    -0.85    -0.11    -1.83    -0.06    2.89     4.33     4.05     4.06     4.21     3.85     3.52     3.21     2.54     1.32     -1.00    -4.95    -8.54    -3.52    -1.95    -0.42    -3.21    -0.64    0.12     -2.87    -8.05    -12.00   -14.03   -14.43   -15.01   -15.14   -15.28   -15.51   -14.94   -5.67    -1.63    0.08     0.38     0.18     -1.00    -5.30    -5.38    6.47     2.28     -0.75    -9.81    -13.57   -14.96   -5.67    -15.15   -15.24   -10.00

E2      | -81.18  | dist2path{62.89}>thresh_dist{4.00}  | +z       -z       +x       -y       -z       +y       -y       +0       +y       +z       -x       +0       -x       +z       -z       -y
        |         |                                     | -0.50    -0.43    -5.04    -5.41    -5.65    -0.73    -0.77    -0.51    -5.86    -6.59    -7.54    -5.57    -8.44    -8.69    -9.45    -10.00

E3      | -84.58  | dist2path{60.14}>thresh_dist{4.00}  | +x       +0       -z       +x       +x       -x       +0       +x       -y       +z       -x       +y       -y       -y       +0       -z       +x
        |         |                                     | -0.50    -0.50    -0.37    -5.11    -5.21    -5.93    -5.50    -0.48    -0.56    -5.61    -6.49    -7.10    -7.97    -8.50    -5.56    -9.20    -10.00

E4      | -101.00 | collision                           | -y       +0       +z
        |         |                                     | -0.50    -0.50    -100.00

E5      | -226.81 | dist2path{64.73}>thresh_dist{4.00}  | -y       -y       +z       -x       +x       +y       +z       +z       +x       -z       -x       +z       +y       +y       +0       -x       +0       +0       -z       +z       -z       +y       +x       -z       -y       -x       -x       -x       +y       -x       -y       +0       +y       +y       +0       +y       +z       -x       +y       +z       -x       -z       -x       +x       -z       -x       +x       -x
        |         |                                     | -0.50    -0.48    -5.29    -5.69    -5.38    -0.79    -0.43    -2.03    1.61     4.22     4.01     4.10     4.22     4.03     -5.21    3.59     -5.34    -5.22    3.47     3.30     2.15     1.02     -1.88    -6.02    -9.11    -3.29    -1.39    0.57     -0.20    -3.25    -0.69    -5.40    -0.15    -5.09    -5.54    -10.13   -13.07   -14.30   -14.92   -15.04   -15.44   -15.55   -15.33   -14.96   -15.25   -15.51   -15.22   -10.00

E6      | -81.51  | dist2path{61.00}>thresh_dist{4.00}  | +z       -x       -z       -z       +z       +0       +z       -z       +z       -y       -z       -z       -z       +y       +z
        |         |                                     | -0.50    -0.73    -5.46    -5.40    -5.64    -5.51    -0.81    -0.76    -5.99    -6.70    -7.39    -8.23    -8.90    -9.49    -10.00

E7      | -77.60  | dist2path{61.30}>thresh_dist{4.00}  | -z       +y       +0       +z       +z       +y       +x       +y       +0       +0       -x       -x       -x       -z       +z       +x       +z
        |         |                                     | -0.50    -0.45    -0.49    -5.37    -5.36    -5.52    -0.59    -0.59    -0.51    -0.51    -6.45    -7.10    -7.88    -8.19    -8.81    -9.25    -10.00

E8      | -96.14  | dist2path{69.62}>thresh_dist{4.00}  | -x       -z       +z       +x       +0       +x       +y       -x       +0       +y       +x       +x       -y       +0       +x       -x       -z       +x
        |         |                                     | -0.50    -0.49    -5.28    -5.13    -5.50    -5.42    -0.82    -1.03    -0.52    -6.03    -6.33    -6.85    -8.31    -5.60    -8.56    -9.68    -10.11   -10.00

E9      | -81.59  | dist2path{61.32}>thresh_dist{4.00}  | +y       +x       +0       +z       +y       +z       +z       -z       +y       -y       +0       -y       -z       -z       -y       -z
        |         |                                     | -0.50    -0.18    -0.49    -5.20    -5.38    -5.63    -0.77    -0.77    -6.04    -6.76    -5.53    -7.54    -8.34    -9.01    -9.45    -10.00

E10     | -80.95  | dist2path{61.51}>thresh_dist{4.00}  | -x       +x       +y       +y       +x       -y       +y       -y       -z       +z       +y       -x       +0       +y       +x
        |         |                                     | -0.50    -0.24    -5.09    -5.43    -5.42    -0.83    -0.73    -6.05    -6.59    -7.38    -8.34    -9.25    -5.55    -9.55    -10.00

E11     | -95.70  | dist2path{67.67}>thresh_dist{4.00}  | -y       -y       -y       +x       +x       -z       -y       +0       -y       +0       -y       -x       +z       +x       +0       -x       -x       -z
        |         |                                     | -0.50    -0.48    -5.29    -5.11    -5.47    -0.89    -0.84    -0.51    -6.02    -5.53    -6.48    -7.19    -7.91    -8.35    -5.60    -9.49    -10.02   -10.00

E12     | -85.13  | dist2path{69.53}>thresh_dist{4.00}  | +z       -x       +z       +y       +y       -x       -y       +y       -z       +y       +y       +y       -x       +y       +y
        |         |                                     | -0.50    -0.72    -5.49    -5.36    -5.62    -1.11    -0.88    -5.86    -6.52    -7.20    -7.98    -8.67    -9.37    -9.85    -10.00

E13     | -81.65  | dist2path{62.07}>thresh_dist{4.00}  | +z       -z       +x       +z       -x       -y       +x       +x       +z       +z       +0       -z       +y       -y       +z       +y       +y
        |         |                                     | -0.50    -0.45    -5.05    -5.36    -5.87    -0.81    -0.43    -0.32    -0.78    -5.40    -5.51    -6.34    -7.53    -8.47    -9.04    -9.79    -10.00

E14     | -79.16  | dist2path{66.02}>thresh_dist{4.00}  | +0       -z       +0       -z       +0       -x       -x       +y       -z       +x       -y       -y       +z       -z       -z       -z       -z       -x
        |         |                                     | -0.50    -0.50    -0.50    -0.41    -0.50    -5.59    -5.73    -0.60    -0.86    -0.47    -5.62    -6.18    -6.60    -7.80    -8.47    -9.18    -9.66    -10.00

E15     | -83.53  | dist2path{68.98}>thresh_dist{4.00}  | +0       -x       -z       +y       -y       -z       -z       -z       -y       +z       -y       -y       -x       +x       -z       -x
        |         |                                     | -0.50    -0.50    -0.47    -5.24    -5.54    -5.56    -0.79    -0.81    -5.97    -6.40    -6.81    -7.82    -8.56    -8.94    -9.61    -10.00

E16     | -84.34  | dist2path{61.77}>thresh_dist{4.00}  | -y       -y       +z       +x       -x       +x       -x       -z       +0       +0       +y       +x       -x       +x       +y       -z
        |         |                                     | -0.50    -0.48    -5.29    -5.18    -5.79    -0.50    -0.85    -6.00    -5.52    -5.51    -6.29    -6.90    -8.10    -8.26    -9.18    -10.00

E17     | -74.05  | dist2path{62.18}>thresh_dist{4.00}  | +z       -y       +x       +y       -x       +z       +x       +x       -z       -y       +z       -x       -z       -z       +z       +y
        |         |                                     | -0.50    -0.48    -5.00    -5.35    -5.90    -0.69    -0.36    -0.19    -0.57    -5.46    -6.07    -7.38    -8.05    -8.75    -9.30    -10.00

E18     | -100.00 | collision                           | +x
        |         |                                     | -100.00

E19     | -213.94 | dist2path{66.23}>thresh_dist{4.00}  | +0       +0       -x       -x       +z       -y       -x       +x       -z       -z       +x       +z       +0       +0       +x       +x       -y       +x       +y       +z       -z       -y       +x       -z       +y       -x       +z       -y       +z       +y       -y       -y       -y       +y       +y       -x       -z       -z       +x       +z       +y       -z       +x       +y       -y       -z       +z
        |         |                                     | -0.50    -0.50    -0.50    -0.80    -5.48    -5.34    -5.72    -0.52    -0.13    -1.67    1.74     3.91     -5.20    -5.33    4.17     4.30     4.17     4.05     3.97     3.74     2.94     2.14     0.64     -2.52    -6.07    -8.40    -2.03    -0.90    1.47     -0.90    -2.89    -0.80    -2.16    -6.59    -11.26   -13.51   -14.58   -14.81   -14.96   -15.29   -15.50   -15.36   -14.97   -15.34   -15.34   -15.30   -10.00

E20     | -228.95 | dist2path{65.84}>thresh_dist{4.00}  | -x       -y       +z       -y       -z       +0       +y       -x       -z       +z       +z       +z       +0       -x       +y       +0       -y       +y       -x       +0       -y       +y       -z       +y       -x       -z       -y       +x       +x       -z       +x       +x       +x       +z       -x       -x       -x       -x       +y       +y       +x       +x       +x       -x       -y       -y       +x
        |         |                                     | -0.50    -0.52    -5.24    -5.42    -5.53    -5.51    -0.78    -0.76    -2.88    0.37     3.28     4.19     -5.16    3.87     4.08     -5.33    4.08     3.89     3.59     -5.34    3.25     2.81     1.20     -0.68    -4.52    -8.37    -3.74    -2.05    -1.03    -3.76    -0.98    0.28     -1.78    -6.94    -11.59   -13.75   -14.70   -15.06   -15.27   -15.29   -15.32   -15.25   -14.91   -15.24   -15.34   -15.32   -10.00

E21     | -100.50 | collision                           | +y       +z
        |         |                                     | -0.50    -100.00

E22     | -100.00 | collision                           | -y
        |         |                                     | -100.00

E23     | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

