Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -214.78 | dist2path{66.38}>thresh_dist{4.00}  | -y       -y       -x       -y       -x       -x       -y       +x       -y       -x       -z       -x       +z       +z       -x       +z       +z       +z       +x       -x       -y       +0       +z       +x       +z       +z       +y       +z       -y       -z       -z       +z       +y       -z       +y       -x       -z       -z       +z       +0       +z       -z       -z       +z       +y       +x       +z       -x       +x       +0       +x
        |         |                                     | -5.50    -5.26    -5.74    -0.90    -0.51    -1.90    1.73     4.30     4.87     4.30     4.68     4.19     4.33     3.96     3.40     2.07     0.07     -3.29    -7.70    -3.07    -1.15    -0.35    -1.79    0.59     -2.35    -1.03    -0.51    -6.98    -6.34    -2.58    -0.95    -9.85    -14.29   -16.34   -15.53   -15.73   -16.00   -15.02   -4.34    -0.55    -4.33    0.56     4.90     -0.36    -9.96    -14.51   -15.68   -16.10   -15.97   -6.26    -10.00

E2      | -220.07 | dist2path{61.93}>thresh_dist{4.00}  | -z       -x       +0       -z       -x       +0       +z       +y       +y       +x       -z       +0       -y       +x       +x       -x       -y       -y       +0       +0       -z       +y       +0       +y       +x       -x       -z       -y       +z       -z       +y       -z       +y       +x       +x       +x       +y       -x       -z       -z       +y       +x       +0       +0       +x       -x
        |         |                                     | -0.50    -0.74    -5.50    -5.33    -5.72    -5.52    -0.72    -0.10    -0.71    3.88     4.94     -4.77    4.94     4.72     4.72     4.19     4.19     3.87     -4.84    -4.56    2.46     0.58     -5.36    -1.92    -6.03    -8.98    -2.51    -0.77    -3.31    -1.27    -0.48    -4.39    -9.20    -12.54   -13.68   -14.95   -15.52   -16.03   -16.15   -16.19   -15.55   -15.99   -6.48    -6.30    -15.94   -10.00

E3      | -232.10 | dist2path{62.49}>thresh_dist{4.00}  | +0       +z       +x       +z       -y       +z       -y       +z       +0       -z       +0       +x       +z       +y       -x       -y       -x       -y       +x       +x       -z       -z       -x       -z       -y       -x       +z       +z       -x       +x       -y       -x       +x       +0       +0       +y       -x       +0       +z       -x       +0       +z       -x       +z       +y       +x       +z       -y       +0       -z       -y       +z       +0       +0       -y       +z       +x
        |         |                                     | -0.50    -0.49    -5.05    -5.21    -5.63    -0.65    -0.67    0.66     -0.47    0.18     -0.22    0.05     4.61     4.93     4.48     4.65     4.69     3.87     3.62     3.57     2.51     0.78     -2.42    -6.79    -3.52    -1.51    0.32     -2.53    0.48     -2.72    -9.02    -12.79   -14.24   -6.13    -6.35    -14.73   -15.53   -6.59    -15.84   -16.43   -6.63    -15.73   -5.17    -1.02    -5.06    0.42     7.14     1.63     -0.52    -7.89    -12.64   -16.01   -6.32    -6.28    -15.70   -15.67   -10.00

E4      | -196.03 | dist2path{60.34}>thresh_dist{4.00}  | +z       +y       -y       +0       +x       +y       -z       -y       -z       -z       -z       -z       +x       +z       -z       -x       +0       +z       -x       -z       -x       +x       -z       +x       +y       +y       +x       +0       +x       -z       +0       -y       +y       +y       +z       +z       +y       -y       +y       -z       -z       -z
        |         |                                     | -0.50    -5.36    -5.35    -5.48    -5.16    -1.15    -0.87    -1.29    2.15     4.34     4.40     4.66     4.73     4.60     4.25     3.75     -4.81    3.43     1.79     -0.61    -4.32    -8.48    -3.04    -1.48    0.36     -2.63    0.42     -4.96    -1.53    -7.98    -6.04    -12.36   -14.35   -15.17   -15.91   -16.11   -16.19   -15.97   -15.76   -16.35   -15.70   -10.00

