Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -20.79  | dist2path{76.24}>thresh_dist{4.00}  | -x       -x       +x       +y       +0       +z       -x       -z       +0       -z
        |         |                                     | -0.50    -12.19   25.18    46.23    16.99    4.09     -14.33   -39.61   -36.64   -10.00

E2      | -52.74  | dist2path{74.26}>thresh_dist{4.00}  | -x       +z       -y       +z       +x
        |         |                                     | -0.50    -0.67    -19.25   -22.33   -10.00

E3      | -46.40  | dist2path{111.26}>thresh_dist{4.00} | -z       -z       +z       +z
        |         |                                     | -0.50    -6.20    -29.70   -10.00

E4      | -16.28  | dist2path{88.94}>thresh_dist{4.00}  | -y       +y       -x       +x
        |         |                                     | -0.50    -0.65    -5.14    -10.00

E5      | 1.24    | dist2path{73.12}>thresh_dist{4.00}  | -y       +0       +z       -z       -y       +y       +x       +0       -x
        |         |                                     | -0.50    -0.69    45.89    16.18    30.26    4.83     -32.19   -52.54   -10.00

E6      | -5.70   | dist2path{77.93}>thresh_dist{4.00}  | +y       +z       +z       +y       -x       +0       -y       +z       +0       +z
        |         |                                     | -0.50    -0.51    31.22    14.61    36.10    5.98     6.70     -36.39   -52.89   -10.00

E7      | -32.48  | dist2path{88.49}>thresh_dist{4.00}  | +y       -x       +x       -x
        |         |                                     | -0.50    -0.59    -21.39   -10.00

E8      | -11.46  | dist2path{86.42}>thresh_dist{4.00}  | -z       -y       +z       +x
        |         |                                     | -0.50    -0.59    -0.38    -10.00

E9      | 12.18   | dist2path{71.98}>thresh_dist{4.00}  | +0       +0       +y       +y
        |         |                                     | -0.50    -0.56    23.25    -10.00

E10     | 4.90    | dist2path{71.33}>thresh_dist{4.00}  | +z       +y       -x       +0       -y       +y       +y       -z       -y
        |         |                                     | -0.50    -0.59    41.43    40.26    13.35    1.79     -38.66   -42.18   -10.00

E11     | -34.83  | dist2path{88.77}>thresh_dist{4.00}  | -y       +x       -z       -z
        |         |                                     | -0.50    -0.59    -23.74   -10.00

E12     | -34.70  | dist2path{88.53}>thresh_dist{4.00}  | -x       -y       -y       -y
        |         |                                     | -0.50    -0.62    -23.58   -10.00

