Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -242.24 | dist2path{63.92}>thresh_dist{4.00}  | -x       +x       +0       +y       +0       +0       +z       +x       -z       +0       -x       +z       +x       -y       +z       -x       +x       +0       +0       +x       -z       -z       +y       +z       +y       -x       +0       +z       -y       +x       +0       -z       +x       +y       +y       +z       +x       +0       -z       +y       -y       +z       +y       +0       +z       +x       -z       -x       -y       +y       +x
        |         |                                     | -0.50    -5.49    -5.50    -5.20    -5.50    -5.50    -5.55    -0.45    -0.35    -0.43    -2.01    1.02     3.86     4.29     4.24     3.76     4.19     -5.21    -5.33    3.98     3.63     2.97     2.46     0.93     -1.87    -6.04    -5.58    -8.95    -3.44    -1.60    -0.51    -0.12    -2.13    0.39     0.15     -4.46    -10.22   -5.61    -13.17   -14.45   -14.88   -15.15   -15.21   -5.85    -15.51   -15.26   -15.16   -15.40   -15.20   -15.37   -10.00

E2      | -91.82  | dist2path{69.17}>thresh_dist{4.00}  | +z       +0       +0       -z       +y       -z       -x       -y       -z       -z       -z       -z       +z       +z       +y       -z       +0       -x
        |         |                                     | -0.50    -0.50    -0.50    -0.41    -5.30    -5.56    -5.84    -0.76    -0.72    -6.11    -6.71    -7.24    -8.01    -8.71    -9.37    -9.99    -5.58    -10.00

E3      | -98.77  | dist2path{61.96}>thresh_dist{4.00}  | +z       -z       -y       +x       +0       -x       -y       +0       +z       +y       +z       +z       +0       -y       +0       -x       +0       -y       -z
        |         |                                     | -0.50    -0.43    -5.32    -5.12    -5.50    -5.90    -0.79    -0.51    -0.62    -6.01    -6.73    -7.47    -5.53    -8.44    -5.60    -9.20    -5.57    -9.54    -10.00

E4      | -94.69  | dist2path{67.19}>thresh_dist{4.00}  | -z       +y       +y       +0       -y       +x       -y       -x       +x       +0       +y       +y       +x       -y       +z       -z       -x
        |         |                                     | -0.50    -0.45    -5.34    -5.50    -5.50    -5.29    -0.91    -1.05    -5.76    -5.51    -6.09    -7.08    -7.86    -8.70    -9.20    -9.94    -10.00

