Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 9.24    | too far from path                   | +z       -y       -x       -z       +z       -x       +z       -y       +0       +y       +0       -z       +y       +y       +x       -z       -z       +x       +y       -x       +z       -x       +x       +x       -y       +0       -y       +z
        |         |                                     | -0.05    1.89     -1.47    -0.16    1.36     1.37     -0.55    1.18     -0.82    -0.70    -0.70    1.18     1.20     1.43     1.56     1.54     1.48     1.54     1.50     1.48     1.47     1.41     1.31     1.22     1.23     -0.77    -0.89    -10.00

E2      | 9.63    | too far from path                   | +0       -z       +z       +0       -y       +x       -z       -y       +x       +z       +x       -x       +y       -y       -x       -x       -y       +y       -z       +0       -z       -y       -y       +z       +0       +x
        |         |                                     | 1.97     -0.01    1.91     -0.09    1.89     1.77     -0.81    -0.64    0.88     0.80     0.87     0.94     1.04     1.10     1.20     1.29     1.38     1.41     1.33     -0.67    1.26     1.33     1.32     -0.91    -0.94    -10.00

E3      | 4.99    | too far from path                   | +z       +x       +0       +x       -y       +x       -z       +y       -x       +x       +x       -z       +0       -x       +x       -x       +x       -y       -x       +z       -x       -y       +y       -y
        |         |                                     | 1.99     1.77     -0.24    1.61     1.61     -1.07    -0.46    0.78     0.56     0.54     0.59     0.59     -1.41    0.67     0.74     0.81     0.89     1.00     1.09     1.22     1.23     1.27     -0.78    -10.00

E4      | 28.26   | too far from path                   | +x       +z       -x       -x       +0       +x       +x       -y       +0       +y       -z       +0       +z       +x       +y       +z       +y       -y       +x       +z       +z       +0       -z       -y       -z       +x       -x       +x       +x       -x       +y       +z       +z       +x       -x       +0       +x       -x       +y       +y       +y       -y       -x       +z       -y       -z       +y       -x       +y       +x       -z       +y       +x       +y       +x       -x       -z
        |         |                                     | 1.96     1.68     1.84     1.93     -0.07    -1.22    -0.06    1.46     -0.54    -0.49    1.34     -0.66    1.47     1.54     1.45     1.48     1.34     1.38     1.32     1.29     1.24     -0.76    1.22     1.27     1.20     -0.07    -1.08    -1.57    -1.61    0.77     0.85     0.90     0.99     1.02     1.15     -0.85    1.19     1.33     1.37     1.44     -1.25    1.33     0.70     0.57     0.56     0.59     0.64     0.63     0.71     0.78     0.83     0.94     1.04     1.14     1.20     -0.52    -10.00

E5      | 10.93   | too far from path                   | +y       +0       +y       +y       +y       +x       -y       -x       +x       -x       -y       +0       +z       -y       +z       +0       +0       +0       -y       +y       -y       +x       +0       -z       +x       +x       +x       +y       +y       -y
        |         |                                     | 1.97     -0.03    1.64     1.54     1.46     -0.92    -0.52    1.39     -0.62    1.34     1.37     -0.63    1.52     1.55     1.63     -0.37    -0.37    -0.38    1.67     1.52     1.58     1.50     -0.50    1.39     1.33     1.26     1.20     -0.25    -1.33    -10.00

E6      | 5.66    | too far from path                   | -x       -z       +z       -z       +0       -x       +x       -x       -z       -x       -y       +0       +0       -x       -x       +y       +x       +0       +z       -y       +y       +0       -y       +z       -y       +z       +y
        |         |                                     | 1.97     1.76     1.80     1.84     -0.16    -0.88    1.49     0.85     0.59     0.58     0.63     -1.37    -1.37    0.70     0.78     0.84     0.93     -1.07    1.11     1.21     1.20     -0.80    1.29     1.30     1.28     -0.86    -10.00

E7      | 10.69   | too far from path                   | -y       -z       -x       +y       +z       +x       +0       -z       -x       +z       -x       -x       -y       +0       -z       -y       +x       -z       +y       +x       -x       -x       +z       -y
        |         |                                     | 1.97     1.70     1.74     1.83     -0.98    1.79     -0.23    1.00     0.76     0.84     0.90     0.96     1.05     -0.95    1.01     1.11     1.17     1.14     1.16     1.19     1.20     1.18     -0.85    -10.00

E8      | 15.36   | too far from path                   | +z       +z       -y       -z       -y       +z       +0       +y       -x       -y       -x       +x       -y       +z       -y       -y       +x       +0       +y       -x       +x       +0       +x       -z       -z       +z
        |         |                                     | 2.00     1.95     1.78     1.75     -1.35    -0.47    -0.46    -0.24    1.59     1.37     1.38     1.52     1.54     1.70     1.69     1.70     1.87     -0.12    1.82     1.68     1.52     -0.48    1.35     1.21     -0.94    -10.00

E9      | 2.88    | too far from path                   | -y       +x       +0       -z       +y       -z       -x       -y       +0       +y       -z       +y       +z       +y       +0       +x       +0       +0       -z       -z       -y       +z       +z       +y       +z       -y       +x       +0       +x       +z
        |         |                                     | 1.97     1.64     -0.37    1.69     1.79     -0.59    -0.77    0.77     -1.23    -1.19    0.82     0.80     0.91     0.94     -1.06    0.97     -1.03    -1.03    0.93     0.90     0.99     1.10     1.17     1.09     1.11     1.18     1.14     -0.86    -0.93    -10.00

E10     | 12.74   | too far from path                   | +x       +x       -y       -x       +z       +x       -y       +x       -x       -x       -z       +0       +x       -z       -x       +x       -x       +0       +0       +z       +y       +0       +0       -z       +y       +y       +x       +z
        |         |                                     | 1.97     1.56     1.55     1.66     -1.23    -0.21    -0.29    1.56     1.44     1.45     1.57     -0.43    1.69     1.63     1.67     1.67     1.64     -0.36    -0.36    1.63     1.42     -0.59    -0.59    1.32     1.17     1.06     -0.85    -10.00

