Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -27.72  | dist2path{64.40}>thresh_dist{4.00}  | +y       -y       -x       -x       +0       +0       -z       -z       +y       +y       +z
        |         |                                     | -0.50    -6.17    -0.57    15.38    24.79    41.36    -1.49    -51.40   -23.06   -16.06   -10.00

E2      | -12.69  | dist2path{63.49}>thresh_dist{4.00}  | -z       -y       +z       +0       +0       -x       +z       -z       -x       +y
        |         |                                     | -0.50    -5.65    24.08    17.23    43.14    0.26     -30.27   -31.60   -19.38   -10.00

E3      | -18.15  | dist2path{90.92}>thresh_dist{4.00}  | +x       +x       +y       +z       +x       -y       -y       -y       -z       -y
        |         |                                     | -0.50    -0.40    44.17    38.96    11.32    1.47     -9.79    -40.13   -53.24   -10.00

E4      | -25.65  | dist2path{86.04}>thresh_dist{4.00}  | -z       -z       +x       +0       +z       -y       +z       -x       +x       +y
        |         |                                     | -0.50    -5.98    43.58    39.41    12.08    4.60     -46.90   -20.20   -41.75   -10.00

E5      | 5.08    | dist2path{71.23}>thresh_dist{4.00}  | -z       +z       -y       -y       +0       +x       +z       +x       +z
        |         |                                     | -0.50    -0.67    38.16    40.53    17.94    -0.81    -37.71   -41.86   -10.00

