Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -226.44 | dist2path{63.34}>thresh_dist{4.00}  | -z       -x       -z       +z       -x       -x       -x       -y       +x       +x       -z       +z       +y       -z       +y       -z       +z       +z       +0       +0       +x       -z       +y       -z       +0       +0       +y       +y       -x       -y       +x       -y       -z       +y       -x       +z       -x       -y       -x       -y       -z       -x       -y       -z       -y       +0       -z       -z       +0       +x       +z       -z
        |         |                                     | -0.50    -5.59    -5.40    -5.56    -1.02    -1.04    0.07     1.24     -0.44    -2.21    0.83     3.40     4.23     4.11     4.12     3.87     4.01     3.74     -5.38    -5.34    3.29     2.29     1.00     -2.09    -5.45    -5.47    -5.84    -8.64    -2.54    -1.25    0.25     -0.13    0.43     0.14     -1.46    0.20     -2.89    -9.17    -12.57   -14.32   -14.84   -15.17   -15.42   -15.40   -15.36   -5.80    -15.39   -15.33   -5.84    -15.37   -15.41   -10.00

E2      | -89.16  | dist2path{68.78}>thresh_dist{4.00}  | -z       -y       -z       +x       +x       +x       +x       -z       +0       +y       -z       -x       -x       -x       +x       +y
        |         |                                     | -0.50    -0.46    -5.26    -5.26    -5.50    -0.51    -0.23    -5.52    -5.51    -6.04    -7.14    -8.63    -9.07    -9.67    -9.85    -10.00

E3      | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

E4      | -222.77 | dist2path{65.85}>thresh_dist{4.00}  | +x       +z       +y       +x       +0       -x       +y       +y       +z       -x       -y       -x       +y       +x       -y       -x       +x       +z       -x       -x       +x       -x       +z       -x       -x       -x       +z       +x       +y       +y       +z       +0       -y       +y       -z       -y       -x       -z       +x       +0       +0       +x       +z       -z       +x       +z       +x
        |         |                                     | -0.50    -0.42    -5.34    -5.30    -5.50    -5.81    -0.79    -0.56    0.32     -0.50    -2.18    0.86     3.31     4.57     4.17     3.97     4.15     4.20     3.46     3.05     2.52     1.01     -1.47    -5.50    -8.83    -3.07    -1.07    -3.15    -0.23    0.02     -4.87    -5.59    -10.60   -13.18   -14.68   -15.04   -15.26   -15.39   -15.43   -5.80    -5.80    -15.20   -15.12   -15.56   -15.25   -15.39   -10.00

E5      | -100.50 | collision                           | +y       +z
        |         |                                     | -0.50    -100.00

E6      | -221.64 | dist2path{62.98}>thresh_dist{4.00}  | -y       -z       +y       -z       +z       -y       +x       -y       -x       -y       -y       +y       +z       +z       -y       -z       +z       +x       +z       +x       -x       -y       -z       +y       -x       -x       +y       +0       +0       +0       -x       +x       -y       +z       -z       +y       +y       +0       -y       -x       -x       +0       -z       -z       -x       +z       +z       -x       +y       -y       +z       -x
        |         |                                     | -0.50    -0.42    -5.29    -5.58    -0.66    -0.74    -0.03    0.53     -0.57    1.94     1.49     -0.61    -2.18    1.32     3.48     4.05     -2.98    1.13     4.04     4.44     3.71     3.80     3.17     2.57     0.94     -1.71    -5.29    -5.57    -5.57    -5.54    -8.80    -2.73    -1.52    -4.16    -1.02    0.65     -2.64    -5.51    -8.69    -12.51   -14.24   -5.93    -14.87   -15.35   -15.32   -15.56   -15.39   -15.25   -15.25   -15.41   -15.51   -10.00

