Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 995.56  | reached destination                 | -x       -x       +y       -y       -y       -z       -z       +y       -y       -x       -y       +x       +x       +x       +y       +z       -z       +z       -y       -x       -z       +0       +x       +z       +z       +y       -x       +0       +z       +0       +x       +y       -x       +z       -y       +z       +z       -y       +z       -x       +0       +0       +0       +0       +z       -x       +x       -z       -z       +x       +y       -z       +z       -z       +0       -x       -y       -x       -y       +z       +z       +z       -z       +x       -x       +x       +y       -y       -y       +0       +z       +z       -x       -x       -y       -y       +x       +y       -x       -z       +z       +y       -z       -y       +y       -y       +0       +z       -y       -x       -y       -x       +x       -z       +z       -z       +y       +0       +y       +0       -y       +z       -z       -z       +z       +y       -z       +z       +0       +z       +0       +0       +x       +z       -z       +x       +0       +0       +y       +0       +z
        |         |                                     | 0.49     0.30     0.29     0.30     0.30     0.24     -0.17    -0.27    -0.26    -0.24    -0.20    -0.17    -0.12    -0.08    -0.04    0.06     0.04     0.11     0.14     0.11     0.01     -0.00    -0.40    -0.45    -0.45    -0.37    -0.34    -0.34    -0.31    -0.31    -0.33    -0.34    -0.34    -0.31    -0.25    -0.25    -0.24    -0.24    -0.24    -0.21    -0.21    -0.21    -0.20    -0.20    -0.14    -0.05    0.02     0.14     0.27     0.48     0.44     0.41     0.47     0.40     0.40     0.35     0.28     0.21     0.15     0.13     0.11     0.11     -0.07    -0.27    -0.29    -0.26    -0.24    -0.17    -0.13    -0.13    -0.06    -0.01    0.03     0.07     0.18     0.30     0.45     0.43     0.36     0.14     -0.23    -0.27    -0.24    -0.26    -0.24    -0.20    -0.20    -0.14    -0.08    -0.03    0.03     0.10     0.27     0.41     0.37     0.08     -0.33    -0.33    -0.30    -0.31    -0.35    -0.35    -0.35    -0.33    -0.29    -0.25    -0.21    -0.16    -0.15    -0.10    -0.10    -0.10    -0.06    0.02     0.11     0.18     0.19     0.19     0.36     0.36     1000.00

E2      | -7.78   | too far from path                   | +x       -x       -z       -x       -z       +x       +x
        |         |                                     | 0.50     0.47     0.42     0.27     0.26     0.30     -10.00

E3      | -7.67   | too far from path                   | -x       -z       +z       +y       -y       -z
        |         |                                     | 0.50     0.49     0.47     0.40     0.48     -10.00

E4      | -7.51   | too far from path                   | -y       +y       +x       +0       +z       +z       -z       -y
        |         |                                     | 0.48     0.45     0.40     0.40     0.28     0.26     0.22     -10.00

E5      | -6.71   | too far from path                   | +0       +y       +y       +0       +z       -y       +x       +x       +z
        |         |                                     | 0.49     0.50     0.40     0.40     0.37     0.47     0.39     0.29     -10.00

E6      | -7.63   | too far from path                   | -y       -z       -z       +z       -z       +x
        |         |                                     | 0.50     0.49     0.47     0.46     0.46     -10.00

E7      | -7.56   | too far from path                   | -y       -x       -y       +y       -z       +z       +z
        |         |                                     | 0.49     0.46     0.42     0.40     0.34     0.32     -10.00

E8      | -7.95   | too far from path                   | +z       -z       +x       +x       -z       -x
        |         |                                     | 0.50     0.49     0.40     0.33     0.34     -10.00

