Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -217.33 | dist2path{62.45}>thresh_dist{4.00}  | +y       +0       +x       +z       +y       -x       +y       +y       +y       +z       +y       +z       -x       -z       +0       -x       -x       -y       +y       -y       +z       +z       +z       +0       +y       -z       +z       -z       +0       -z       -x       +0       -x       -y       -y       +z       -y       -z       +z       -y       +x       -z       +0       +x       +z
        |         |                                     | -0.50    -0.49    -5.30    -5.39    -5.57    -0.79    -0.33    -1.61    1.61     4.07     4.17     4.35     4.17     4.10     -5.21    3.94     3.79     3.11     2.21     0.53     -2.51    -6.54    -8.42    -5.53    -2.00    -0.59    -2.25    -0.09    -5.30    -1.65    -7.65    -5.64    -11.83   -13.95   -14.80   -15.23   -15.32   -15.60   -15.67   -15.40   -15.34   -15.48   -5.80    -15.60   -10.00

E2      | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

E3      | -100.50 | collision                           | +x       +y
        |         |                                     | -0.50    -100.00

E4      | -229.79 | dist2path{62.87}>thresh_dist{4.00}  | -z       +0       -x       +x       -z       -y       -x       +z       +z       +0       +z       +0       +0       -y       +y       +x       +y       -x       +x       +x       +0       -y       -y       +0       +z       -y       +y       -z       -z       -x       -y       -x       +z       +z       +0       +0       +y       -y       +y       +z       +x       +0       -x       +z       -y       -z       -x       -x       +z
        |         |                                     | -0.50    -0.50    -0.45    -5.31    -5.38    -5.63    -0.83    -0.32    -1.67    -5.29    2.21     -5.22    -5.21    4.50     4.25     4.37     4.19     4.26     3.93     3.56     -5.23    3.03     1.96     -5.30    0.02     -3.46    -7.47    -3.38    -2.24    -0.24    -1.64    0.36     -1.73    -7.49    -5.72    -5.65    -12.03   -14.07   -14.86   -15.27   -15.31   -5.97    -15.61   -15.67   -15.33   -15.38   -15.50   -15.60   -10.00

E5      | -100.50 | collision                           | +z       -x
        |         |                                     | -0.50    -100.00

