Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -219.75 | dist2path{64.60}>thresh_dist{4.00}  | +z       -z       +z       +z       +y       -x       +x       -x       +0       +x       +z       -x       +y       -z       +z       -z       +z       +x       -x       -y       +x       +0       -z       +x       -x       +z       +0       +x       +z       -z       -y       +z       +x       +y       -x       -z       +x       +y       +z       -x       -x       +0       +y       +x       -x       -x       +y
        |         |                                     | -0.50    -5.36    -5.35    -5.49    -0.67    -1.01    0.57     -1.35    -5.31    2.17     4.02     4.00     4.14     4.10     3.98     3.90     3.55     3.16     1.92     0.32     -2.33    -5.48    -6.57    -8.59    -2.59    -1.00    -0.48    -3.54    -0.54    0.38     -3.75    -8.85    -12.61   -14.09   -15.03   -15.02   -15.12   -15.44   -15.51   -15.09   -6.22    -0.61    -8.53    -13.12   -15.57   -15.24   -10.00

E2      | -85.64  | dist2path{62.68}>thresh_dist{4.00}  | -x       -z       +y       +0       -x       +x       +x       +0       +0       -x       -z       +x       +y       -x       +x       -x       -z
        |         |                                     | -0.50    -0.48    -5.24    -5.49    -5.74    -5.40    -0.50    -0.50    -0.50    -0.88    -6.51    -7.01    -7.94    -9.29    -9.30    -10.35   -10.00

E3      | -80.28  | dist2path{61.66}>thresh_dist{4.00}  | +y       -y       -z       -y       -x       -y       +0       +x       +0       +x       +x       -x       -x       +x       +y       +x       +z       +x
        |         |                                     | -0.50    -0.47    -5.27    -5.45    -5.80    -0.83    -0.50    -0.49    -0.50    -0.58    -0.61    -5.86    -7.16    -7.80    -8.96    -9.30    -10.19   -10.00

E4      | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

E5      | -100.50 | collision                           | +y       +z
        |         |                                     | -0.50    -100.00

E6      | -227.21 | dist2path{60.56}>thresh_dist{4.00}  | +y       +y       +x       +y       +x       +z       -z       +0       -z       +z       -x       -z       -x       +y       +y       +0       +x       +x       +x       +0       +z       -x       -y       -x       +0       -z       +y       +x       +x       -y       +0       -y       -y       +0       -y       -y       +x       -z       +z       +z       -y       -y       -y       -x       +x       +0       -x       +0       +y       -y       +y       +y
        |         |                                     | -0.50    -0.44    -5.11    -5.25    -5.43    -0.76    -0.51    -0.45    1.67     -0.18    -2.02    1.12     3.18     4.16     4.21     -5.33    4.08     4.15     4.01     -5.34    3.69     2.95     1.99     0.34     -5.34    -2.80    -6.43    -8.84    -3.08    -1.93    -0.51    -0.24    -4.02    -5.38    -1.10    -0.04    -2.13    -7.71    -11.17   -13.53   -14.46   -14.74   -15.03   -15.35   -15.18   -5.80    -15.29   -5.80    -15.01   -15.29   -15.24   -10.00

E7      | -79.37  | dist2path{65.62}>thresh_dist{4.00}  | +x       -y       -x       +y       +x       +y       +0       -x       -x       -x       -x       -z       +0       +y       +y       +z       -x       -x       -y       -z
        |         |                                     | -0.50    -0.44    -5.58    -5.52    -5.49    -0.84    -0.51    -1.03    -1.07    -1.12    -0.59    -0.84    -0.51    -5.82    -6.38    -7.21    -8.14    -8.75    -9.03    -10.00

E8      | -96.81  | dist2path{64.83}>thresh_dist{4.00}  | -x       +y       +z       -z       -y       +0       +0       +x       -y       -y       -y       -x       +y       +z       +0       +z       +x       +y
        |         |                                     | -0.50    -0.48    -5.33    -5.29    -5.59    -5.51    -5.50    -0.46    -0.54    -5.51    -5.81    -6.74    -7.50    -8.29    -5.54    -8.86    -9.35    -10.00

E9      | -101.00 | collision                           | -z       +0       +z
        |         |                                     | -0.50    -0.50    -100.00

E10     | -100.50 | collision                           | +x       +z
        |         |                                     | -0.50    -100.00

E11     | -211.58 | dist2path{65.17}>thresh_dist{4.00}  | -y       -x       -z       +z       +x       -y       +x       -x       +y       -x       +x       +0       -y       -x       +x       -y       +x       +z       -x       -y       -x       -y       -z       +z       +y       -x       +y       +0       +x       -z       -x       +x       -y       -y       -x       +z       +x       -x       +z       -y       +z       +y       +y       +0       +z       -z
        |         |                                     | -0.50    -0.72    -5.43    -5.40    -5.42    -0.90    -0.21    1.20     -2.81    -0.05    2.77     -5.37    4.34     3.93     4.07     4.11     3.90     3.83     3.13     2.39     1.18     -1.27    -4.77    -8.12    -3.34    -1.95    0.10     -0.45    -1.52    0.18     -0.88    -6.13    -10.99   -13.26   -14.52   -14.73   -15.02   -15.47   -15.26   -15.35   -15.10   -15.37   -15.30   -5.63    -15.46   -10.00

E12     | -83.64  | dist2path{62.81}>thresh_dist{4.00}  | +y       +0       +y       +y       -x       -y       -z       +z       +y       +z       -x       -x       -y       +0       +z       +y
        |         |                                     | -0.50    -0.50    -0.42    -5.36    -5.69    -5.58    -0.79    -0.89    -6.22    -6.96    -7.85    -8.77    -8.96    -5.57    -9.59    -10.00

E13     | -79.52  | dist2path{64.00}>thresh_dist{4.00}  | +0       +0       +x       +y       +z       -z       +x       +z       +0       +z       +0       +z       +x       +y       +z       +y       -z       +x
        |         |                                     | -0.50    -0.50    -0.49    -0.34    -5.45    -5.38    -5.40    -0.87    -0.50    -0.79    -0.51    -6.09    -6.67    -7.86    -8.86    -9.35    -9.96    -10.00

E14     | -100.50 | collision                           | -x       +z
        |         |                                     | -0.50    -100.00

E15     | -222.20 | dist2path{65.43}>thresh_dist{4.00}  | -y       +y       +z       -y       -z       +y       -x       -z       +z       -z       +z       +y       -z       +z       -x       -y       +0       -y       +x       -x       +z       +z       +z       +y       -z       +0       -y       -y       +x       -z       +0       -x       -x       +0       +0       +x       +y       -x       -x       +y       +x       +z       -z       +x       +y       +x       -x
        |         |                                     | -0.50    -0.44    -5.37    -5.39    -5.49    -0.81    -0.83    -2.92    0.05     2.85     4.12     4.03     3.97     4.17     3.60     3.75     -5.38    3.22     2.91     1.43     -0.22    -3.62    -7.60    -3.13    -1.64    -0.52    -0.55    -2.58    -0.57    -1.12    -5.47    -5.94    -10.61   -5.71    -5.62    -13.04   -14.19   -15.02   -15.24   -15.32   -15.16   -15.43   -15.14   -15.21   -15.29   -15.24   -10.00

E16     | -102.99 | dist2path{68.28}>thresh_dist{4.00}  | +0       +0       +x       -y       +z       -z       +0       +0       -x       -y       +z       -y       -z       -x       +x       -x       +0       -x       +x       -z
        |         |                                     | -0.50    -0.50    -0.49    -0.40    -5.34    -5.49    -5.50    -5.50    -5.85    -0.83    -0.71    -6.10    -6.69    -7.47    -7.94    -8.94    -5.56    -9.53    -9.66    -10.00

E17     | -76.50  | dist2path{62.75}>thresh_dist{4.00}  | -x       +x       -z       -y       -y       -z       +y       +y       -y       -y       +z       +y       +z       -x
        |         |                                     | -0.50    -0.23    -5.10    -5.40    -5.57    -0.82    -0.91    -6.29    -7.03    -7.53    -8.41    -9.01    -9.70    -10.00

E18     | -100.50 | collision                           | +
