Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -75.04  | dist2path{63.02}>thresh_dist{4.00}  | -x       +0       +0       +x       +x       -x       +x       -z       -z       -y       -y       -z       -y       +y       -y       +x       +y       +y       +x       -y       -y       +y       -y
        |         |                                     | -0.50    -0.50    -0.50    -5.47    -4.96    -5.64    -5.59    -6.04    -6.36    -6.63    -6.90    -2.04    -1.48    -2.58    -2.32    -4.40    -1.21    0.65     0.58     -0.46    -0.86    -1.85    -10.00

E2      | -92.67  | dist2path{64.36}>thresh_dist{4.00}  | -y       +y       -x       -y       -z       +y       +z       +x       -z       +0       +0       +z       +z       -y       +0       -x       -z       +0       +z       -x       +y       +y       -z       +y       +x       +z       +y       +z       -z
        |         |                                     | -0.50    -0.45    -5.63    -5.51    -5.54    -5.90    -6.23    -6.22    -6.72    -5.52    -5.52    -6.94    -1.86    -5.78    -5.44    1.62     -0.51    -0.49    0.49     -0.65    1.18     -0.73    -3.18    -1.41    -0.35    -0.87    -1.62    -2.36    -10.00

E3      | -94.91  | dist2path{60.67}>thresh_dist{4.00}  | +x       +y       +0       +z       +z       +z       -z       -y       +0       -z       -z       -y       +z       +0       -x       -y       -x       +y       +y       +0       +0       -y       +0       +z       +y       -z
        |         |                                     | -0.50    -0.40    -0.50    -5.44    -5.37    -5.56    -5.87    -6.15    -5.53    -6.35    -6.72    -7.00    -1.91    -0.51    -1.25    0.88     -5.09    -2.41    -0.60    -5.43    -5.31    -0.20    -5.35    -0.95    -1.43    -10.00

E4      | -85.10  | dist2path{63.21}>thresh_dist{4.00}  | +z       +y       -x       -z       +z       +z       +0       -y       +z       +z       +z       +z       +z       +x       -y       +0       +y       -y       +0       -z       +z       -x
        |         |                                     | -0.50    -0.45    -5.65    -5.45    -5.60    -5.87    -5.52    -6.21    -6.33    -6.62    -6.90    -1.91    -0.81    -2.58    -0.03    -5.42    0.36     -0.90    -5.36    -1.30    -2.05    -10.00

E5      | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

