Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -228.22 | dist2path{60.66}>thresh_dist{4.00}  | -y       +y       -x       +x       +z       -x       +0       +y       +z       +x       +0       -y       +z       +0       +x       -z       +y       -z       +0       +0       -y       +x       -y       -y       +0       +0       +y       +0       +y       +y       +z       +z       +x       -x       -y       +z       -y       -x       -y       +x       -z       -z       -x       +y       -z       -y       -x       -x       +z       +x       -x       -z       -z
        |         |                                     | -0.50    -5.32    -5.61    -5.38    -0.74    -0.81    -0.46    -2.78    0.42     3.79     -5.20    4.33     4.46     -5.20    4.26     4.28     4.00     3.66     -5.18    -5.22    3.22     2.51     0.80     -1.92    -5.44    -5.47    -5.70    -5.57    -8.56    -2.51    -1.12    -4.04    3.50     -0.53    0.52     0.01     2.05     -0.69    -3.35    -2.83    -7.02    -11.46   -13.66   -14.48   -15.20   -15.28   -15.55   -15.65   -15.35   -15.19   -15.43   -15.61   -10.00

E2      | -100.50 | collision                           | +y       +y
        |         |                                     | -0.50    -100.00

E3      | -100.00 | collision                           | -y
        |         |                                     | -100.00

E4      | -100.50 | collision                           | -y       +x
        |         |                                     | -0.50    -100.00

E5      | -219.56 | dist2path{63.32}>thresh_dist{4.00}  | +0       -x       -x       -x       +y       +z       -y       +z       -z       +z       -z       +0       -y       +0       -x       +0       +y       +z       +z       +z       +x       -y       +x       +z       -y       +z       -z       +y       +x       -x       -x       -y       +y       -x       +z       +z       -x       +y       +y       +y       +y       -z       +z       +0       +z       +x
        |         |                                     | -0.50    -0.50    -0.75    -5.71    -5.35    -5.64    -0.84    -0.21    -1.70    1.43     4.01     -5.16    4.33     -5.20    3.98     -5.21    4.29     4.10     3.99     3.68     3.23     2.16     0.68     -2.18    -6.60    -8.29    -2.59    -1.10    -4.15    -1.04    0.50     -3.34    -8.60    -12.81   -14.06   -14.98   -15.18   -15.52   -15.63   -15.56   -15.40   -15.34   -15.40   -5.98    -15.44   -10.00

E6      | -100.50 | collision                           | +z       -y
        |         |                                     | -0.50    -100.00

E7      | -100.00 | collision                           | +x
        |         |                                     | -100.00

E8      | -217.35 | dist2path{65.14}>thresh_dist{4.00}  | -z       -z       -x       -y       +y       -z       -x       -z       +y       -y       -y       +y       +y       -y       -y       +x       +0       +0       -z       +z       +y       -y       -z       +y       -x       +y       +x       +y       -z       -x       +y       +x       +x       -y       -x       +y       +x       -x       -z       +z       -x       +z       -x       -z       +0       -z       +z       -x
        |         |                                     | -0.50    -0.42    -5.57    -5.51    -5.55    -0.90    -0.35    1.58     -0.70    1.36     -0.93    -2.86    0.23     3.20     4.23     4.40     -5.20    -5.20    4.10     4.10     4.10     3.61     3.03     2.34     0.51     -2.19    -6.36    -8.37    -2.30    -0.85    -3.03    -0.32    -0.06    -4.52    -10.07   -13.32   -14.16   -15.19   -15.39   -15.31   -15.71   -15.61   -15.37   -15.46   -5.80    -15.64   -15.42   -10.00

E9      | -100.50 | collision                           | +y       +y
        |         |                                     | -0.50    -100.00

E10     | -100.50 | collision                           | +0       -z
        |         |                                     | -0.50    -100.00

E11     | -100.50 | collision                           | -z       +y
        |         |                                     | -0.50    -100.00

E12     | -100.50 | collision                           | -y       +y
        |         |                                     | -0.50    -100.00

E13     | -100.50 | collision                           | -x       -y
        |         |                                     | -0.50    -100.00

E14     | -100.50 | collision                           | +z       -y
        |         |                                     | -0.50    -100.00

E15     | -100.50 | collision                           | -y       +x
        |         |                                     | -0.50    -100.00

E16     | -263.52 | dist2path{65.60}>thresh_dist{4.00}  | +0       -y       -y       +x       -x       +y       +y       -x       +0       +x       -x       +0       -z       +z       +y       +x       +x       +x       +0       +x       +0       -x       -y       +y       -x       +z       +y       -z       +0       -y       -x       +x       -z       +z       -y       -y       +x       +z       -y       +y       -y       -x       -z       +0       +0       +x       +z       +z       -y       +x       +z       -y       -y       +z       -z       +0       +0       +0       -x       +z       -x       -y       +0       -x       -z       -y       +x       -x       +y
        |         |                                     | -0.50    -0.50    -0.46    -4.98    -5.69    -5.64    -0.82    -0.78    -0.45    -2.69    0.44     -5.26    3.57     4.22     4.33     4.28     4.19     4.04     -5.17    3.94     -5.34    3.25     2.41     1.25     -1.59    -5.24    -8.77    -3.64    -0.57    -2.08    -0.06    0.77     -0.24    -1.75    0.26     -1.46    -6.67    -11.30   -13.64   -14.64   -15.12   -15.41   -15.56   -5.80    -5.98    -15.45   -15.08   -5.35    -1.51    0.20     0.16     0.81     1.19     -0.26    -1.57    -5.33    -5.30    -5.33    4.82     0.39     -2.08    -0.77    -0.59    -10.86   -14.91   -15.22   -15.10   -15.56   -10.00

E17     | -101.00 | collision                           | +0       -y       +z
        |         |                                     | -0.50    -0.50    -100.00

E18     | -101.00 | collision                           | -z       +0       +z
        |         |                                     | -0.50    -0.50    -100.00

E19     | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

E20     | -100.50 | collision                           | +z       +y
        |         |                                     | -0.50    -100.00

E21     | -100.50 | collision                           | -x       +z
        |         |                                     | -0.50    -100.00

E22     | -100.50 | collision                           | -x       -x
        |         |                                     | -0.50    -100.00

E23     | -100.50 | collision                           | +y       +y
        |         |                                     | -0.50    -100.00

E24     | -216.37 | dist2path{60.35}>thresh_dist{4.00}  | +z       -z       +x       -y       +y       -z       -z       +y       -y       -y       -x       +z       +y       +x       +x       +0       +y       +0       +0       +x       +0       -z       +z       -y       -x       +z       -x       +z       +0       -x       +x       +z       +x       -z       -z       +y       -y       +z       -x       +0       +y       -y       -z       -z       -z       -x       -y       -z       -z       -z
        |         |                                     | -0.50    -0.44    -5.02    -5.39    -5.59    -0.88    -0.22    -2.89    0.06     2.93     3.90     4.20     4.08     4.16     4.02     -5.21    3.96     -5.18    -5.38    3.39     -5.24    2.62     1.22     -1.47    -5.18    -8.51    -3.16    -1.65    -0.51    -0.04    -0.01    0.70     -0.52    -2.83    -0.56    -1.03    -6.20    -10.62   -13.55   -5.91    -14.58   -14.97   -15.39   -15.53   -15.60   -15.60   -15.25   -15.36   -15.61   -10.00

E25     | -227.78 | dist2path{60.14}>thresh_dist{4.00}  | +0       +z       +0       -y       +0       +0       +0       -x       +z       +y       +y       -x       +0       -y       -z       -y       -z       +x       +0       +z       +x       -x       +x       +x       +x       +z       -y       +0       +x       +0       +y       +y       +0       +x       -y       +0       -z       -y       -y       -y       -y       +y       +y       +y       +0       +0       -x       +z       -y       +z       -x       +z       +y
        |         |                                     | -0.50    -0.50    -0.50    -0.45    -0.49    -5.49    -5.49    -5.49    -5.56    -0.66    -0.76    -0.30    -0.43    -1.42    1.73     4.04     4.21     4.23     -5.16    4.22     4.32     3.71     3.68     3.16     2.24     0.71     -2.75    -5.47    -6.63    -5.58    -8.01    -1.69    -0.52    -0.61    -3.18    -5.44    -0.40    -1.00    -6.10    -10.76   -13.34   -14.42   -14.93   -15.35   -5.93    -5.84    -15.62   -15.56   -15.58   -15.09   -15.61   -15.44   -10.00

E26     | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

E27     | -100.50 | collision                           | +z       +x
        |         |                                     | -0.50    -100.00

E28     | -101.00 | collision                           | +y       +0       +x
        |         |                                     | -0.50    -0.50    -100.00

E29     | -212.38 | dist2path{60.24}>thresh_dist{4.00}  | -z       -z       -y       +x       +x       -y       +0       +x       -y       -y       +0       -y       +x       +0       +x       +x       +0       +z       +0       +x       +z       -y       +x       +0       +x       +z       -z       +z       -z       +z       +z       -y       -y       +x       -y       +z       -y       +0       -z       -x       -y       -y       -x       -z       -z       +0       -y       -x       +y       +0       +x       -y
        |         |                                     | -0.50    -0.44    -5.32    -5.09    -5.49    -0.87    -0.51    -0.14    0.93     -0.42    -0.39    2.55     0.04     -0.41    -0.46    3.16     -4.98    4.48     -5.20    4.46     4.28     4.26     3.97     -5.21    3.69     3.15     2.05     0.52     -2.87    -6.52    -3.21    -1.95    -0.77    -2.69    -0.63    -0.70    -6.06    -5.66    -11.01   -13.56   -14.35   -14.98   -15.35   -15.38   -15.57   -5.97    -15.26   -15.41   -15.48   -5.85    -15.25   -10.00

E30     | -100.50 | collision                           | -x       -x
        |         |                                     | -0.50    -100.00

E31     | -100.50 | collision                           | -z       -x
        |         |                                     | -0.50    -100.00

E32     | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

E33     | -101.00 | collision                           | +0       -y       +z
        |         |                                     | -0.50    -0.50    -100.00

E34     | -100.50 | collision                           | +y       -x
        |         |                                     | -0.50    -100.00

E35     | -100.00 | collision                           | +y
        |         |                                     | -100.00

E36     | -224.89 | dist2path{65.98}>thresh_dist{4.00}  | +z       -z       -z       +z       +0       -z       +x       -x       +z       +y       +0       +y       +z       +x       +z       +x       +y       -y       -x       +z       +0       +0       -y       -y       +0       -y       +z       +0       +z       -z       +z       +z       +z       +z       +x       +0       -x       +x       -z       -z       -x       -y       -x       -y       +x       +x       +y       -y       +y       +y       +z
        |         |                                     | -0.50    -0.44    -5.28    -5.45    -5.50    -5.69    -0.50    -0.33    -1.89    1.53     -5.03    4.16     4.46     4.29     4.30     4.35     3.99     3.57     2.97     2.26     -5.29    -5.26    0.13     -3.00    -5.48    -7.03    -2.90    -0.55    -1.44    -0.26    -1.58    -0.17    0.78     -0.84    -0.62    -0.48    -3.90    -5.96    -10.87   -13.38   -14.47   -14.94   -15.17   -15.40   -15.22   -15.29   -15.33   -15.22   -15.54   -15.48   -10.00

E37     | -235.81 | dist2path{62.69}>thresh_dist{4.00}  | +0       -z       +x       +y       +y       +y       +x       -z       +z       -y       +x       -z       -z       +z       +x       -x       +z       +y       +z       -y       -y       -x       +x       +x       +x       +0       +0       +z       +z       -x       -y       +z       -z       +x       +x       -x       +0       +y       -x       -x       +x       +y       -z       +x       +0       +y       -y       +y       -z       -y       +y       +z       +z       -y       -y       +z       +y       +z       +z       +z       +0       -x       +x       +x
        |         |                                     | -0.50    -0.50    -0.17    -5.13    -5.48    -5.63    -0.57    -0.19    -1.36    1.94     4.44     4.40     4.14     4.41     4.19     3.69     3.62     3.26     2.14     -0.04    -3.27    -6.98    -3.36    -2.68    -1.10    -0.48    -0.47    -2.99    -0.02    -0.16    -0.00    -0.71    -0.32    -5.43    -6.86    -11.22   -5.76    -13.59   -14.70   -15.17   -15.19   -15.36   -15.68   -14.71   -5.78    -4.40    -0.72    -1.78    5.96     1.71     -1.04    -2.19    -1.34    -0.55    -7.81    -11.57   -14.10   -3.78    -0.01    -6.58    -5.63    -11.80   -14.89   -10.00

E38     | -100.50 | collision                           | +y       -y
        |         |                                     | -0.50    -100.00

E39     | -210.11 | dist2path{63.46}>thresh_dist{4.00}  | +0       +x       +x       +x       -z       -z       -y       +y       +0       -y       +y       -x       -z       -x       +z       -x       -y       -z       -z       +z       +x       +y       +0       -x       +y       +0       +0       +0       -y       +x       -z       +x       +0       +y       -y       -x       +x       -y       -y       -z       -z       -y       +z       +x       -x       -z       +0       +0       +y
        |         |                                     | -0.50    -0.49    -0.14    -4.91    -5.44    -5.67    -0.81    -0.21    -0.41    -1.01    2.49     3.94     4.09     3.95     4.30     3.82     3.75     3.51     2.91     2.18     0.35     -2.67    -5.48    -6.95    -2.92    -0.55    -0.54    -0.54    -1.23    0.04     -1.83    -0.51    -5.36    -2.91    -8.79    -12.38   -13.87   -14.80   -15.14   -15.25   -15.55   -15.46   -15.23   -15.16   -15.66   -15.40   -5.80    -5.85    -10.00

E40     | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

E41     | -221.66 | dist2path{61.47}>thresh_dist{4.00}  | +x       +0       +y       -y       +y       -x       +0       +y       -x       +x       +z       +y       -z       -x       +0       +0       +0       +x       -z       +z       -y       -z       +0       +y       -x       -x       +x       +z       -x       -z       -z       -x       -y       -x       +x       -z       -z       -y       -x       -z       +z       +0       -x       +x       -x       -z       -z
        |         |                                     | -0.50    -0.50    -0.41    -5.43    -5.26    -5.94    -5.51    -0.74    -0.48    -1.90    1.71     4.00     4.16     4.09     -5.21    -5.16    -5.21    4.23     4.20     4.01     3.57     3.10     -5.25    2.34     0.41     -2.45    -6.37    -8.43    -2.16    -0.71    -2.51    -0.13    -1.54    -7.29    -11.15   -13.87   -14.61   -15.06   -15.19   -15.53   -15.49   -5.80    -15.66   -14.99   -15.59   -15.43   -10.00

E42     | -100.50 | collision                           | +x       +x
        |         |                                     | -0.50    -100.00

E43     | -100.50 | collision                           | -x       +z
        |         |                                     | -0.50    -100.00

E44     | -100.50 | collision                           | +y       +z
        |         |                                     | -0.50    -100.00

E45     | -227.58 | dist2path{61.46}>thresh_dist{4.00}  | -y       -z       -x       +z       -x       -z       +z       -y       +z       +z       +z       -y       +0       +0       -y       -z       -x       -x       +x       -x       +0       +x       -z       +0       -x       -x       +x       -x       +x       -y       +x       -y       -z       +0       -x       -y       -x       +z       -z       +x       +y       +0       -z       +y       +0       +0       -z       +z       +z       +z
        |         |                                     | -0.50    -0.43    -5.56    -5.50    -5.84    -0.84    0.03     2.47     -0.38    -2.25    1.14     3.98     -5.20    -5.16    4.30     4.19     4.08     3.77     3.88     3.36     -5.23    3.01     1.92     -5.29    -0.04    -3.11    -6.91    -3.19    -2.16    -0.69    -2.53    -0.48    -1.17    -5.40    -6.31    -10.98   -13.49   -14.44   -15.16   -14.94   -15.48   -5.80    -15.68   -15.58   -5.79    -5.96    -15.23   -15.55   -15.47   -10.00

E46     | -243.05 | dist2path{61.40}>thresh_dist{4.00}  | +0       +x       +y       +y       -y       -y       -x       -x       +0       -y       -z       +y       -z       +0       +y       -x       +0       -x       -x       -y       +0       +x       -z       +0       +x       -z       +z       +y       -z       +y       -z       +0       +0       +0       +0       -y       +y       +y       +z       +x       +x       -z       -y       +z       +0       +0       +0       +0       -y       -x       -y       +x       +x       +z       +z       -z       +0       +z       +x
        |         |                                     | -0.50    -0.49    -0.40    -5.39    -5.51    -5.53    -1.05    -1.12    -0.48    0.31     -0.19    -2.00    1.22     -5.24    3.82     4.07     -5.17    3.80     3.94     3.98     -5.21    3.96     3.60     -5.23    3.24     2.33     0.98     -1.77    -6.11    -8.59    -3.00    -0.55    -0.54    -0.52    -0.54    -0.82    1.62     -0.40    -1.85    0.00     -1.48    -7.61    -11.83   -13.73   -5.93    -5.81    -5.93    -5.93    -14.73   -15.33   -15.40   -15.34   -15.30   -15.55   -15.07   -15.54   -5.85    -15.37   -10.00

E47     | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

E48     | -224.77 | dist2path{62.53}>thresh_dist{4.00}  | -y       +0       +0       +y       +z       +0       -y       -z       -y       +0       +y       +x       +y       +x       +y       +y       +z       -x       +z       -y       +z       +0       +x       -x       +y       -y       +0       +0       +y       +y       -y       +x       +0       +0       +x       -y       +z       -z       -y       +0       -x       +x       -y       -y       -x       +y       -x       +z       +x       -y
        |         |                                     | -0.50    -0.50    -0.50    -0.41    -5.37    -5.49    -5.40    -5.55    -0.85    -0.51    -0.21    -1.17    2.31     4.57     4.28     4.41     4.25     3.96     3.95     3.68     3.13     -5.22    2.02     -0.02    -3.00    -7.40    -5.60    -5.58    -2.75    -1.24    -0.27    -2.01    -5.41    -5.34    0.04     -2.68    -8.22    -12.34   -14.23   -5.77    -14.97   -14.88   -15.38   -15.46   -15.60   -15.22   -15.51   -15.42   -15.41   -10.00

E49     | -192.84 | dist2path{62.09}>thresh_dist{4.00}  | -y       +0       +y       +y       -y       +x       +z       +y       +0       -y       +y       +0       -x       -y       +x       -z       -z       -z       -z       -x       +x       +y       -y       +y       -z       -z       +y       +0       -y       +y       -x       +x       -x       +y       +x       -x       -y       -z       -x       +y       -y       +z       -y       -x       +y       +z       +x       +y
        |         |                                     | -0.50    -0.50    -0.42    -5.33    -5.51    -5.29    -0.85    -0.47    -0.41    2.14     -0.34    -0.47    0.92     -0.46    -1.59    2.01     4.00     4.30     4.06     4.03     4.11     3.83     3.55     2.92     1.58     -0.66    -3.87    -5.51    -8.48    -3.51    -1.87    -0.01    -1.51    0.47     -2.06    -7.76    -11.87   -13.90   -14.75   -15.09   -15.19   -15.44   -15.57   -15.38   -15.40   -15.38   -15.41   -10.00

E50     | -100.50 | collision                           | +z       -x
        |         |                                     | -0.50    -100.00

E51     | -226.22 | dist2path{62.43}>thresh_dist{4.00}  | -y       +0       +x       +0       +x       -x       -z       +z       +y       +x       -z       +0       -z       +z       +0       -x       +0       +z       +z       -z       +y       +x       +z       +z       -x       -y       -z       -z       +0       -x       -y       +0       +y       +y       -z       -z       -y       +0       -z       -y       +y       +y       +z       +x       +0       -y       -y       +z       +y       +z       -y       +0       -x
        |         |                                     | -0.50    -0.50    -0.17    -0.48    -4.88    -5.70    -5.67    -0.72    -0.40    -2.42    1.18     -5.20    3.96     4.44     -5.20    4.01     -5.21    4.17     4.32     3.91     3.69     3.21     2.57     0.72     -2.45    -6.56    -8.77    -2.96    -0.56    -1.11    1.10     -0.45    0.85     0.05     -1.95    -0.57    -2.95    -5.49    -8.31    -12.18   -13.85   -14.81   -14.97   -15.25   -5.97    -15.50   -15.39   -15.37   -15.39   -15.37   -15.37   -5.80    -10.00

E52     | -100.50 | collision                           | +x       +x
        |         |                                     | -0.50    -100.00

E53     | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

E54     | -100.50 | collision                           | +z       +y
        |         |                                     | -0.50    -100.00

E55     | -100.50 | collision                           | -y       -y
        |         |                                     | -0.50    -100.00

E56     | -217.63 | dist2path{60.97}>thresh_dist{4.00}  | -x       -z       +y       +y       +y       +x       -x       -z       -z       +y       +z       +y       -z       +x       -y       -x       -z       +z       -z       +y       +y       +y       -z       +z       -x       -y       +x       -x       +0       -x       +y       +0       +z       +z       -y       -x       +z       +z       -z       -z       -y       -y       +y       +0       -z       -z       +y
        |         |                                     | -0.50    -0.43    -5.23    -5.50    -5.65    -0.53    -0.32    -2.06    1.04     3.62     4.14     4.29     4.09     4.15     4.06     3.48     3.16     2.55     0.93     -1.57    -5.59    -8.77    -3.30    -1.64    -4.55    -1.11    0.72     -1.66    -5.45    -7.61    -12.12   -5.74    -14.17   -14.77   -15.31   -15.55   -15.40   -15.61   -13.99   -4.76    -1.62    -6.27    -10.97   -5.75    -14.89   -15.50   -10.00

E57     | -100.00 | collision                           | +y
        |         |                                     | -100.00

E58     | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E59     | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E60     | -222.22 | dist2path{65.63}>thresh_dist{4.00}  | +0       +x       -y       -y       -x       +y       +z       -z       +x       +0       +z       -x       -x       +z       +0       +x       -y       -y       +z       +y       +x       +0       +y       +y       -x       +x       +0       +x       -y       +x       +x       +x       -x       +x       -x       -y       +y       +x       +y       +0       -z       +x       +y       +y       -y       -z       +x
        |         |                                     | -0.50    -0.50    -0.44    -5.33    -5.65    -5.67    -0.86    -0.38    -1.55    -5.28    2.51     4.07     3.92     4.34     -5.16    4.23     4.04     4.01     3.70     3.14     2.19     -5.29    0.42     -2.71    -6.95    -8.50    -0.54    -2.11    -0.91    -2.88    -0.43    -0.33    -4.97    -10.06   -13.29   -14.45   -14.87   -15.18   -15.51   -5.98    -15.70   -15.15   -15.25   -15.55   -15.42   -15.44   -10.00

E61     | -100.50 | collision                           | -x       -y
        |         |                                     | -0.50    -100.00

E62     | -100.50 | collision                           | -y       +y
        |         |                                     | -0.50    -100.00

E63     | -224.81 | dist2path{63.89}>thresh_dist{4.00}  | -x       -z       -y       +y       +0       -z       -y       -x       +z       +x       -y       +y       +z       +z       +0       +x       -x       -x       -y       +y       +z       +x       -y       -x       +y       -x       -z       +0       +z       +y       -x       +0       -x       +y       +z       +y       +0       +y       +0       -z       -z       -x       +x       -x       -z       -z
        |         |                                     | -0.50    -0.43    -5.27    -5.28    -5.50    -5.75    -0.76    -0.45    -2.05    1.57     4.29     4.40     4.40     4.26     -5.16    4.18     3.74     3.56     3.04     2.35     0.67     -2.36    -6.57    -8.25    -1.96    -0.27    -1.81    -5.31    0.25     -2.40    -8.74    -5.76    -12.51   -14.27   -14.70   -15.36   -5.80    -15.58   -5.81    -15.75   -15.63   -15.29   -15.13   -15.67   -15.42   -10.00

E64     | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E65     | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E66     | -100.50 | collision                           | +z       +x
        |         |                                     | -0.50    -100.00

E67     | -100.50 | collision                           | -z       -x
        |         |                                     | -0.50    -100.00

E68     | -196.90 | dist2path{62.44}>thresh_dist{4.00}  | +x       +0       +x       +x       +0       +x       +y       +0       -x       +y       +y       -y       +x       +z       -x       -z       -x       +y       -x       +y       +y       +y       -x       +z       -z       +y       -x       +x       -x       +z       -z       +y       +x       +z       -z       +x       +y       -x       -y       +x       -z       +x       +y       -z       +x
        |         |                                     | -0.50    -0.50    -0.17    -4.91    -5.49    -5.23    -5.61    -5.51    -1.12    -0.64    1.55     -0.46    -1.68    2.09     4.13     4.21     4.01     4.12     4.00     3.86     3.66     3.10     1.92     0.33     -3.17    -6.91    -3.58    -1.92    -0.37    -1.62    -0.23    -2.42    -8.23    -11.77   -14.19   -14.55   -15.21   -15.51   -15.49   -15.39   -15.43   -15.09   -15.38   -15.60   -10.00

E69     | -100.00 | collision                           | -x
        |         |                                     | -100.00

E70     | -213.58 | dist2path{63.29}>thresh_dist{4.00}  | +x       +0       -z       +0       +z       -y       +z       -z       -z       +y       -y       +y       +x       +x       +z       +x       -z       +y       -x       +y       -y       -z       -z       +x       +z       -x       -y       -z       +0       +y       -z       +y       +y       +x       +z       +x       +y       +y       +z       -y       +x       +0       +z       +0       +z       -z       +y       +z       +0       -x       +x       -z
        |         |                                     | -0.50    -0.50    -0.41    -0.49    -5.36    -5.53    -5.62    -0.84    -0.20    0.59     -1.13    1.84     4.34     4.32     4.22     4.26     4.19     3.92     3.38     3.06     2.01     -0.02    -3.23    -7.01    -3.15    -1.93    -0.54    -3.42    -5.43    -0.37    -1.15    -5.87    -10.74   -13.11   -14.40   -14.89   -15.17   -15.54   -15.63   -15.18   -5.55    -0.57    -7.22    -5.58    -6.56    -1.72    -0.50    -9.26    -5.74    -14.19   -15.47   -10.00

E71     | -100.50 | collision                           | -z       +y
        |         |                                     | -0.50    -100.00

E72     | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E73     | -236.44 | dist2path{63.30}>thresh_dist{4.00}  | +0       -z       +x       -x       +0       -y       -z       -x       -z       -z       +0       +z       +0       +z       +0       -x       -z       +x       +0       -x       -z       +x       +0       -x       +z       -x       -x       -x       +z       +x       +x       -y       +x       -z       +x       +x       +z       +x       -x       -x       +y       +z       +y       -z       +y       +y       -x       -x       +0       -y
        |         |                                     | -0.50    -0.50    -0.17    -5.40    -5.50    -5.49    -5.57    -1.12    -0.48    -2.30    -5.24    1.24     -5.24    4.08     -5.16    3.94     4.17     4.25     -5.20    3.84     3.95     3.70     -5.23    2.95     2.42     0.61     -2.04    -5.83    -8.76    -3.30    -2.09    -0.53    -2.43    0.22     0.50     -3.15    -9.20    -12.51   -14.63   -14.94   -15.20   -15.49   -15.69   -15.77   -15.35   -15.37   -15.70   -15.46   -5.80    -10.00

E74     | -211.03 | dist2path{64.06}>thresh_dist{4.00}  | +0       -y       -z       +0       -x       -x       -z       -z       +z       +y       +x       -x       -z       +x       +y       +x       +z       -x       +0       -z       +y       -y       -x       -x       +z       -x       +y       -y       +y       +z       +y       +0       -x       +x       -z       -y       -x       +0       +x       -z       +0       -y       -y       +x       -y       +x       +y       +y       +y
        |         |                                     | -0.50    -0.50    -0.42    -0.49    -5.56    -5.71    -0.65    -0.75    0.14     0.08     -3.90    -0.53    2.35     4.47     4.22     4.39     4.19     3.86     -5.21    3.89     3.51     2.74     1.48     -0.61    -3.82    -7.84    -2.89    -1.58    0.48     0.08     -1.41    -5.40    0.37     -3.38    -9.41    -12.81   -14.38   -5.82    -14.80   -15.37   -5.97    -15.41   -15.48   -15.22   -15.26   -15.19   -15.43   -15.56   -10.00

E75     | -235.84 | dist2path{65.47}>thresh_dist{4.00}  | -y       -z       +0       -z       -y       +y       +y       -y       -y       -x       +0       -y       +0       +y       +y       -x       -y       -y       +0       -z       +0       +x       +y       -z       +z       +0       +z       +0       +y       +y       -z       -x       -z       +x       +z       -y       +x       +0       +x       +x       -z       +z       -x       +x       +z       +z       -y       -y       +z       +y       +0       +0       +x
        |         |                                     | -0.50    -0.43    -0.49    -5.28    -5.50    -0.61    -0.78    -0.25    2.61     -0.34    -0.43    -1.36    -5.27    2.64     4.29     3.99     4.26     4.14     -5.21    3.94     -5.17    3.99     3.44     2.66     1.66     -5.40    -0.84    -5.45    -4.79    -8.66    -3.93    -2.19    -0.14    -1.81    0.59     -0.31    -5.12    -5.63    -10.44   -13.19   -14.63   -14.98   -15.45   -15.36   -15.54   -15.46   -15.22   -15.27   -15.54   -15.46   -5.81    -5.81    -10.00

E76     | -100.50 | collision                           | -z       +z
        |         |                                     | -0.50    -100.00

