Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E2      | -224.90 | dist2path{64.35}>thresh_dist{4.00}  | -x       -y       -y       -x       +x       +0       +y       -y       +z       -z       -z       -z       +0       +x       -y       +y       +z       +z       +x       -y       +y       +z       -z       +z       +z       -y       +0       +y       +0       -y       -y       -z       +y       +z       +z       -z       -x       +z       +0       +z       -y       +0       -z       +y       -z       +y       +y
        |         |                                     | -0.50    -0.42    -5.16    -5.55    -5.46    -5.50    -0.81    -0.42    -1.88    1.23     3.54     3.94     -5.20    4.29     4.12     4.13     4.00     3.73     3.29     2.19     1.03     -1.76    -6.07    -8.63    -2.87    -1.64    -0.51    -4.58    -5.39    -0.70    0.30     -2.92    -8.46    -12.11   -14.03   -14.88   -15.21   -15.33   -5.80    -15.65   -15.38   -5.96    -15.17   -15.45   -15.69   -15.57   -10.00

E3      | -111.23 | dist2path{66.13}>thresh_dist{4.00}  | +x       +z       +0       +y       +0       +x       +x       +0       +0       -x       +x       +y       -y       +0       +z       -z       +0       +z       +0       +y       -x
        |         |                                     | -0.50    -0.42    -0.49    -5.33    -5.50    -5.34    -5.42    -5.51    -5.51    -1.14    -0.72    -6.06    -6.99    -5.59    -7.60    -8.75    -5.66    -9.09    -5.69    -9.92    -10.00

E4      | -77.43  | dist2path{65.33}>thresh_dist{4.00}  | +x       +y       -z       +y       +z       +x       +0       +y       -y       +z       -y       -z       -z       +x       +z       -z
        |         |                                     | -0.50    -0.37    -5.42    -5.38    -5.72    -0.53    -0.50    -0.46    -0.55    -5.91    -6.73    -7.94    -8.49    -9.23    -9.70    -10.00

E5      | -73.48  | dist2path{60.50}>thresh_dist{4.00}  | +z       +0       +z       -z       +y       -x       +x       -y       +x       -y       -y       +x       -z       +x       -x
        |         |                                     | -0.50    -0.50    -0.44    -5.30    -5.40    -5.94    -0.47    -0.52    -5.44    -6.15    -6.91    -7.85    -8.84    -9.21    -10.00

E6      | -85.85  | dist2path{64.39}>thresh_dist{4.00}  | +x       +y       -y       +z       -y       -y       +x       +z       +y       +z       -x       -y       +0       -x       -z       -z
        |         |                                     | -0.50    -0.35    -5.46    -5.33    -5.70    -0.81    -0.40    -5.52    -6.09    -6.92    -8.28    -8.29    -5.60    -7.70    -8.89    -10.00

