Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -228.10 | dist2path{63.27}>thresh_dist{4.00}  | -x       +y       -y       -x       -z       +y       -x       +x       +x       +y       -x       -y       -x       -z       -z       +z       +0       +y       -x       +0       -x       +x       -z       +z       -z       -z       -z       +0       -z       -z       +z       +z       +0       -z       +x       +y       -x       -z       +0       -z       +x       +y       +0       +y       +y       +y
        |         |                                     | -0.50    -5.69    -5.40    -5.61    -0.78    -0.26    -2.05    1.41     4.27     4.26     4.00     4.26     3.90     3.84     3.73     3.40     -5.39    2.59     0.70     -5.34    -2.10    -5.95    -8.88    -2.78    -1.40    -4.26    -1.30    -5.32    0.08     -3.16    -7.91    -12.04   -5.87    -13.93   -14.56   -15.14   -15.54   -15.40   -5.98    -15.49   -14.34   -15.29   -5.85    -15.61   -15.40   -10.00

E2      | -100.50 | collision                           | -y       +x
        |         |                                     | -0.50    -100.00

E3      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E4      | -224.76 | dist2path{62.44}>thresh_dist{4.00}  | -y       +0       -y       +x       -y       -y       +x       -x       +0       -y       +y       -y       -y       -y       +0       -y       -z       +0       -y       +y       +x       +z       -y       +y       +y       -x       -y       +x       -x       -y       +y       +0       +x       +0       +y       +x       +x       +0       -y       +x       -x       +x       -y       +0       -y       -z       +x       +0       -y
        |         |                                     | -0.50    -0.50    -0.46    -5.00    -5.42    -5.64    -0.47    -0.43    -0.39    -1.24    2.19     4.34     4.29     4.19     -5.03    4.15     4.06     -5.05    3.78     3.57     2.98     2.07     -0.34    -3.32    -7.30    -3.11    -1.88    -0.08    -1.61    -0.08    -2.22    -5.50    -8.21    -5.75    -12.23   -13.95   -14.69   -5.79    -15.19   -15.19   -15.45   -15.43   -15.24   -5.96    -15.01   -15.54   -15.32   -5.84    -10.00

E5      | -100.50 | collision                           | +z       -y
        |         |                                     | -0.50    -100.00

E6      | -214.07 | dist2path{64.71}>thresh_dist{4.00}  | +y       +0       +y       -x       -z       +z       -x       +y       +0       -z       +y       +y       +z       -x       -y       +z       +x       -x       +x       -y       +y       -y       +y       -y       +y       -x       +0       +z       -y       +y       +y       +y       +0       +y       +x       +x       -x       +0       +x       -z       +x       +0       +y       -x       +y       -x       +z       -y       +z       +z       +y       +x       -z
        |         |                                     | -0.50    -0.50    -0.41    -5.63    -5.42    -5.59    -1.13    -0.28    -0.43    -1.71    1.28     3.50     4.06     3.98     4.00     4.30     3.97     3.47     3.33     2.55     1.19     -1.70    -5.22    -9.10    -3.37    -1.62    -0.50    -4.19    3.42     -0.36    0.39     0.01     -0.44    1.98     -0.61    -3.19    -1.55    -5.37    -4.33    -10.29   -12.95   -5.79    -14.51   -15.03   -15.40   -15.64   -15.64   -15.47   -15.30   -15.48   -15.42   -15.43   -10.00

E7      | -101.00 | collision                           | +0       +0       -x
        |         |                                     | -0.50    -0.50    -100.00

E8      | -100.50 | collision                           | +z       +z
        |         |                                     | -0.50    -100.00

