Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 3.72    | too far from path                   | +y       -z       +x       +x       +0       +0       -x       -z       +0       +0       -y       -z       +x       -z       +x       +y       -z       +y       -z       -x       +x
        |         |                                     | -0.22    1.80     -1.19    0.63     0.63     0.63     0.81     0.81     0.82     0.82     1.07     1.05     1.22     -0.64    -1.10    1.24     1.14     1.16     1.36     1.68     -10.00

E2      | -4.69   | too far from path                   | +z       +0       +x       +0       +y
        |         |                                     | -0.04    1.96     1.69     1.69     -10.00

E3      | -8.37   | too far from path                   | +z       -x       +y
        |         |                                     | -0.03    1.67     -10.00

E4      | -8.10   | too far from path                   | +z       +z       +y
        |         |                                     | -0.03    1.93     -10.00

E5      | -8.09   | too far from path                   | -z       -z       -y
        |         |                                     | -0.04    1.95     -10.00

E6      | -8.21   | too far from path                   | +x       -z       +y
        |         |                                     | -0.09    1.88     -10.00

E7      | -8.40   | too far from path                   | +z       +y       -y
        |         |                                     | -0.03    1.63     -10.00

E8      | -4.76   | too far from path                   | +x       +0       -y       +0       -y
        |         |                                     | -0.09    1.91     1.71     1.71     -10.00

E9      | -6.37   | too far from path                   | +0       +0       -z       -x       -z
        |         |                                     | -0.01    -0.01    1.96     1.68     -10.00

E10     | -4.85   | too far from path                   | +0       +x       +y       +0       +z
        |         |                                     | -0.01    1.91     1.62     1.63     -10.00

E11     | -8.39   | too far from path                   | +z       +y       +y
        |         |                                     | -0.03    1.64     -10.00

E12     | -8.18   | too far from path                   | +y       +z       -x
        |         |                                     | -0.11    1.93     -10.00

E13     | -6.41   | too far from path                   | +0       -y       -x       +x
        |         |                                     | -0.01    1.95     1.65     -10.00

E14     | -8.44   | too far from path                   | -x       +y       -y
        |         |                                     | -0.08    1.65     -10.00

