Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E2      | -57.59  | dist2path{61.07}>thresh_dist{4.00}  | +0       +z       +z       -y       +x       +z       -z       +0       -y       -x       -z
        |         |                                     | -0.50    -0.50    -0.50    -0.50    -0.50    -0.50    -5.27    -5.51    -8.02    -25.78   -10.00

E3      | -64.44  | dist2path{67.96}>thresh_dist{4.00}  | -x       -x       -z       -x       +y       +0       +y
        |         |                                     | -0.50    -0.50    -6.53    -24.94   -11.33   -10.63   -10.00

E4      | -57.17  | dist2path{63.02}>thresh_dist{4.00}  | +x       -y       +z       +0       +x       +y       +y       +x       +z       -z       -y       +x       +x       +0       -x       -y
        |         |                                     | -0.50    -0.50    -0.50    -0.50    -0.50    -0.50    -0.50    -0.50    -0.50    -5.24    -5.65    -6.53    -7.52    -8.42    -9.32    -10.00

