Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 154.08  | reached destination                 | -x       +x       -z       -z       -x       +x       +0       +0       +0       +z       -x       +z       -x       +0       +z       -z       +y       -x       +z       -x       +x       +z       -y       -y       +z       +y       +z       +0       +y       -x       +z       +z       +0       +z       -y       -y       +y       -z       +y       +y       +x       -y       -x       -z       -x       +0       -x       -x       -x       +0       -z       +0       +0       +y       +x       -y       +y       +y       +y       -x
        |         |                                     | -0.09    1.62     -1.25    0.94     1.06     1.21     1.22     1.23     1.23     1.53     1.41     1.26     -0.68    1.31     1.11     1.47     1.31     1.61     1.60     -0.30    1.85     1.68     1.46     1.29     1.27     -1.73    1.50     1.54     0.64     0.72     0.91     1.09     1.09     1.22     -0.80    1.33     1.66     1.67     -1.24    0.70     1.14     0.72     1.03     1.04     1.35     1.35     1.49     -1.52    1.05     1.03     0.61     0.63     0.63     0.98     0.98     1.21     1.55     1.88     0.29     100.00

E2      | -8.52   | too far from path                   | +y       -y       +z
        |         |                                     | -0.08    1.56     -10.00

E3      | -6.12   | too far from path                   | +z       +z       +0       +z
        |         |                                     | -0.04    1.96     1.96     -10.00

E4      | -8.19   | too far from path                   | +y       +z       -y
        |         |                                     | -0.08    1.89     -10.00

E5      | -6.07   | too far from path                   | -z       +z       +y
        |         |                                     | 1.96     1.97     -10.00

E6      | -8.27   | too far from path                   | -y       +z       +x
        |         |                                     | -0.12    1.85     -10.00

E7      | -8.33   | too far from path                   | +z       -x       +y
        |         |                                     | -0.04    1.71     -10.00

