Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -109.60 | dist2path{70.88}>thresh_dist{4.00}  | -z       +y       -z       +x       -z       -z       +x       -y       -x       +0       -z       -z       +z       -x       -y       -x       +x       +y       +y       +y       +z       -y       +x       +y
        |         |                                     | -5.50    -0.93    -2.24    15.13    13.83    13.78    12.75    10.11    2.57     -5.49    -5.31    -3.41    2.87     -12.78   -22.06   -24.23   -24.67   -16.38   3.42     6.50     -8.10    -25.00   -24.46   -10.00

E2      | -58.57  | dist2path{75.75}>thresh_dist{4.00}  | -z       -x       -z       +y       +y       +y
        |         |                                     | -5.50    -7.01    -8.93    -12.03   -15.11   -10.00

E3      | -60.32  | dist2path{77.37}>thresh_dist{4.00}  | +x       -y       -z       +x       +x       +x
        |         |                                     | -5.50    -7.27    -9.91    -12.21   -15.43   -10.00

E4      | -65.38  | dist2path{76.91}>thresh_dist{4.00}  | +z       +0       -x       -y       +z       +x       -y
        |         |                                     | -5.50    -5.50    -7.01    -9.47    -12.76   -15.14   -10.00

E5      | -52.10  | dist2path{62.08}>thresh_dist{4.00}  | -y       -z       +0       +z       -x       +x
        |         |                                     | -5.50    -6.89    -5.52    -10.56   -13.63   -10.00

E6      | -69.91  | dist2path{74.49}>thresh_dist{4.00}  | +0       +x       +0       +0       +y       -x       -z       -x       -z
        |         |                                     | -0.50    -4.99    -5.52    -5.51    -6.93    -9.40    -11.69   -15.36   -10.00

E7      | -46.95  | dist2path{61.32}>thresh_dist{4.00}  | +0       +0       -x       -x       +y       +z       +x
        |         |                                     | -0.50    -0.50    -6.01    -6.76    -10.23   -12.96   -10.00

E8      | -60.78  | dist2path{77.93}>thresh_dist{4.00}  | +x       +y       +y       +z       -x       -z
        |         |                                     | -5.50    -7.05    -9.68    -12.63   -15.92   -10.00

E9      | -64.52  | dist2path{75.82}>thresh_dist{4.00}  | -z       +0       -x       +z       -x       -z       +z
        |         |                                     | -5.50    -5.50    -7.07    -8.92    -12.62   -14.90   -10.00

E10     | -63.24  | dist2path{73.87}>thresh_dist{4.00}  | +x       +y       +x       +x       -z       +0       -z
        |         |                                     | -5.50    -6.79    -7.97    -11.94   -15.45   -5.59    -10.00

E11     | -124.28 | dist2path{61.30}>thresh_dist{4.00}  | +x       +0       +y       -x       +z       -z       +z       +y       +y       +z       -x       +x       +y       -y       +0       +0       +z       +z       -z       -x       +0       +0       -z       -y       -z       +0       -z       -x       -y       +y       +x
        |         |                                     | -5.50    -5.52    -4.42    10.19    13.78    13.36    13.20    11.51    6.26     -6.67    -3.49    1.94     4.32     -4.47    -5.39    -5.46    -0.97    -9.62    -4.63    -20.77   -5.66    -5.62    -24.46   -24.78   -16.59   -0.48    2.12     5.60     -16.86   -25.22   -10.00

E12     | -40.10  | dist2path{60.54}>thresh_dist{4.00}  | -x       -x       -z       -z       -x
        |         |                                     | -5.50    -6.24    -8.07    -10.29   -10.00

E13     | -56.68  | dist2path{73.11}>thresh_dist{4.00}  | +0       +0       +x       -y       +y       +x       +z       +0       -z
        |         |                                     | -0.50    -0.50    -5.01    -6.77    -6.66    -8.76    -12.90   -5.57    -10.00

E14     | -52.65  | dist2path{76.29}>thresh_dist{4.00}  | -y       +x       -x       +z       +y       -x
        |         |                                     | -5.50    -5.49    -8.43    -9.70    -13.53   -10.00

E15     | -53.04  | dist2path{75.78}>thresh_dist{4.00}  | +x       -z       -x       -y       +z       -z
        |         |                                     | -5.50    -6.84    -8.17    -9.43    -13.10   -10.00

E16     | -56.46  | dist2path{73.47}>thresh_dist{4.00}  | +z       +z       -y       -y       +0       -z       -x
        |         |                                     | -5.50    -6.06    -6.81    -9.64    -5.60    -12.86   -10.00

E17     | -63.74  | dist2path{60.13}>thresh_dist{4.00}  | -x       -x       -y       -z       -y       +0       +0       +0
        |         |                                     | -5.50    -6.33    -7.70    -10.14   -12.93   -5.56    -5.58    -10.00

E18     | -58.12  | dist2path{77.02}>thresh_dist{4.00}  | -y       +z       -x       +0       -y       +y       +y
        |         |                                     | -5.50    -6.25    -8.16    -5.54    -9.50    -13.16   -10.00

E19     | -44.37  | dist2path{70.09}>thresh_dist{4.00}  | +0       +y       -y       +z       +z       +y       -y
        |         |                                     | -0.50    -5.51    -1.16    -6.20    -8.79    -12.21   -10.00

E20     | -50.67  | dist2path{73.01}>thresh_dist{4.00}  | +x       +y       -y       -z       +z       +z
        |         |                                     | -5.50    -6.75    -6.90    -9.08    -12.43   -10.00

E21     | -56.28  | dist2path{72.63}>thresh_dist{4.00}  | +z       +z       -y       +y       +0       -x       +z
        |         |                                     | -5.50    -6.10    -6.60    -9.46    -5.61    -13.01   -10.00

E22     | -53.04  | dist2path{75.45}>thresh_dist{4.00}  | +x       -z       +z       -y       -x       +z
        |         |                                     | -5.50    -6.86    -7.46    -9.85    -13.37   -10.00

E23     | -89.09  | collision                           | -x       -z       +z       -x       +0       -z       +y       +0       +0       -y       -x       +z       +x       +y
        |         |                                     | -5.50    -4.96    -3.90    -7.10    -5.52    -3.12    -0.34    -5.33    -5.33    14.80    12.83    12.98    11.40    -100.00

E24     | -24.12  | dist2path{76.07}>thresh_dist{4.00}  | +0       -y       +z       +0       -y       -z       +z       -x       +z       +x       +0       -x       -x       +y       +0       -y       +x       -z
        |         |                                     | -0.50    -5.42    -3.94    -5.24    11.26    13.11    13.30    11.92    10.75    4.66     -5.47    -7.32    -6.63    -5.30    -5.54    -13.17   -20.59   -10.00

E25     | -1.54   | dist2path{73.27}>thresh_dist{4.00}  | +y       -x       +0       +x       +z       +x       +x       -x       -x       -y       +y       -z       +y
        |         |                                     | -5.50    -4.37    -5.40    12.15    13.87    14.31    14.18    13.01    9.87     -6.81    -22.17   -24.68   -10.00

E26     | 1.22    | dist2path{70.48}>thresh_dist{4.00}  | +z       -x       -x       +y       -y       -y       +y       +z       +0       +y       +z       +y       -z
        |         |                                     | -5.50    -5.04    9.03     13.91    13.95    14.07    13.47    11.35    -5.39    -3.71    -20.31   -24.62   -10.00

