Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -209.42 | dist2path{63.17}>thresh_dist{4.00}  | +0       -z       +x       +x       -z       -y       +y       +x       +x       +0       -z       -x       -z       +y       -y       -z       +x       +x       +0       +x       -x       -x       +x       -x       -y       -y       +z       -x       +x       -z       -z       -y       -x       -y       +x       -x       +x       +0       +z       -x       -y       +y       -z       -z       +0       +z       +z       +y
        |         |                                     | -0.50    -0.48    -5.02    -5.06    -5.56    -0.81    -0.22    -1.11    2.60     -5.21    4.57     4.02     4.24     4.22     4.02     3.96     3.72     2.99     -5.26    1.84     -0.29    -3.71    -7.60    -3.22    -2.05    -0.25    1.23     -0.67    1.12     -0.66    -2.70    -1.27    -3.08    -8.34    -11.72   -13.92   -14.46   -5.78    -15.01   -15.45   -15.27   -15.57   -15.61   -15.23   -5.97    -15.34   -15.56   -10.00

E2      | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

E3      | -100.00 | collision                           | +y
        |         |                                     | -100.00

E4      | -101.50 | collision                           | +y       +0       +0       +z
        |         |                                     | -0.50    -0.50    -0.50    -100.00

E5      | -203.46 | dist2path{60.38}>thresh_dist{4.00}  | +0       +z       -y       -x       -z       +z       +x       +z       +x       +y       -y       +y       +0       -z       -x       -y       +x       -x       +0       +x       -y       -x       +0       +x       +x       +x       -y       -z       +y       +z       -y       +0       -z       -y       -x       -x       +x       -y       +z       -z       -z       -z       +x       -z       +x
        |         |                                     | -0.50    -0.50    -0.46    -5.53    -5.49    -5.64    -0.58    0.15     -1.02    2.53     4.22     4.44     -5.16    4.29     3.96     4.16     4.08     3.34     -5.08    3.09     1.70     -0.26    -5.31    -3.58    -7.56    -3.50    -2.72    -0.66    -1.80    0.57     -0.67    -5.42    -6.37    -11.11   -13.45   -14.68   -14.91   -15.32   -15.45   -15.67   -15.46   -15.35   -15.32   -15.45   -10.00

E6      | -100.50 | collision                           | -x       +z
        |         |                                     | -0.50    -100.00

E7      | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

E8      | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

