Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -232.19 | dist2path{65.48}>thresh_dist{4.00}  | +0       -x       +x       -y       -x       -x       +z       +x       +x       +y       +z       -y       -y       +z       +x       +z       -z       +y       +x       -z       -y       -z       -z       +y       +z       -x       +0       +0       -x       +y       +0       -y       +0       -x       +z       +x       -y       +0       -x       +x       +y       -y       -x       -y       -x       +0       -y
        |         |                                     | -0.50    -0.48    -5.32    -5.36    -5.55    -0.77    -0.34    -1.72    1.79     3.95     4.16     4.35     4.12     4.14     3.90     3.80     3.17     2.25     0.59     -2.37    -6.40    -8.60    -2.65    -1.20    -3.83    -0.84    -5.42    -5.29    0.38     -3.83    -5.56    -9.40    -5.69    -13.05   -14.34   -15.05   -15.32   -5.84    -15.53   -15.46   -15.61   -15.15   -15.56   -15.49   -15.47   -5.85    -10.00

E2      | -233.35 | dist2path{65.80}>thresh_dist{4.00}  | -y       +0       +x       -x       -z       -z       -z       -x       -y       -y       -y       +0       +0       +0       -y       -y       +z       +z       -x       -z       -z       -z       +y       +0       +x       +x       -y       -y       -y       +z       -z       -z       -z       +z       +z       -z       -y       +y       +x       -z       +0       +0       -y       +y       +z       +z       +y       +z
        |         |                                     | -0.50    -0.50    -0.45    -5.29    -5.41    -5.66    -0.83    -0.19    -1.83    1.28     3.85     -5.20    -5.20    -5.16    4.17     4.13     4.30     4.11     3.91     3.78     3.13     2.28     0.56     -5.33    -2.55    -6.54    -8.43    -2.28    -0.95    -3.40    -0.57    -0.12    -4.68    -9.83    -13.20   -14.37   -14.92   -15.31   -15.55   -15.48   -5.98    -5.81    -15.62   -15.20   -15.56   -15.46   -15.47   -10.00

E3      | -100.50 | collision                           | +y       -y
        |         |                                     | -0.50    -100.00

E4      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E5      | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E6      | -100.50 | collision                           | +x       -y
        |         |                                     | -0.50    -100.00

E7      | -218.27 | dist2path{62.81}>thresh_dist{4.00}  | -z       +0       -x       +z       -z       -x       +0       +z       -y       -z       -y       -y       +0       -y       +z       -z       +y       -z       +0       +y       -z       -x       -z       +y       +y       +z       -z       +y       -z       +y       +z       +0       -x       -z       +z       -x       -z       +x       +x       -y       +y       +x       +x       -x       -y       -x
        |         |                                     | -0.50    -0.50    -0.44    -5.30    -5.39    -5.65    -5.51    -0.83    -0.16    -2.04    1.22     3.52     -5.04    4.17     4.13     4.17     4.25     3.92     -5.34    3.82     3.19     2.38     0.76     -2.14    -6.02    -8.71    -2.81    -1.38    -4.22    -0.97    0.58     -5.43    -2.64    -8.29    -12.54   -14.08   -14.81   -15.25   -15.35   -15.59   -15.69   -15.38   -15.37   -15.44   -15.60   -10.00

E8      | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E9      | -100.50 | collision                           | -x       -z
        |         |                                     | -0.50    -100.00

E10     | -100.50 | collision                           | +x       +y
        |         |                                     | -0.50    -100.00

E11     | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E12     | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

E13     | -100.50 | collision                           | -y       +x
        |         |                                     | -0.50    -100.00

E14     | -100.00 | collision                           | +x
        |         |                                     | -100.00

E15     | -212.52 | dist2path{62.56}>thresh_dist{4.00}  | +0       +x       +x       -z       -y       +0       -y       +x       -y       +y       +z       +0       -z       +x       +y       +z       +y       -y       +x       +x       -x       -x       +z       +x       -y       -y       -y       -x       +y       +x       +z       +y       +x       -x       +y       -z       -z       +x       +0       +y       +y       +z       -z       -z       -z
        |         |                                     | -0.50    -0.50    -0.44    -5.31    -5.38    -5.50    -5.66    -0.83    -0.16    -1.87    1.43     -5.23    3.90     4.33     4.11     4.13     4.12     3.91     3.80     3.19     2.29     0.66     -2.24    -6.24    -8.63    -2.75    -1.34    -4.29    -0.94    0.70     -2.33    -8.02    -12.43   -14.07   -14.86   -15.26   -15.53   -15.43   -5.98    -15.56   -15.36   -15.35   -15.61   -15.48   -10.00

E16     | -100.50 | collision                           | +y       +x
        |         |                                     | -0.50    -100.00

E17     | -233.47 | dist2path{61.60}>thresh_dist{4.00}  | -y       +0       +0       +x       +z       +x       +y       +0       +y       -x       +0       -x       -x       -z       +0       -z       +z       +y       +z       -x       -x       +y       -z       +y       -y       +z       +y       -y       -x       +0       +z       +0       +y       -y       +0       -x       +x       +z       -x       +y       -z       -y       -y       +x       +z       +x       +x       +x       +x       +0       -z       +0       -x       +y       +x       -y       -x       +0       +z       +y       -x       -z       -z
        |         |                                     | -0.50    -0.50    -0.50    -0.44    -5.30    -5.42    -5.66    -5.51    -0.82    -0.14    -0.42    -1.39    1.79     4.04     -5.20    4.15     4.16     4.13     4.23     3.89     3.64     3.10     2.21     0.44     -2.59    -6.62    -8.37    -2.13    -0.82    -0.46    -2.86    -5.42    -0.08    -0.75    -5.40    -6.69    -11.19   -13.58   -14.64   -15.20   -15.42   -15.41   -15.70   -15.07   -5.76    -1.99    0.61     -0.66    6.51     -0.36    1.31     -0.51    -1.31    -1.31    -1.02    -2.51    -0.90    -5.61    -10.55   -14.20   -15.35   -15.46   -10.00

E18     | -100.50 | collision                           | +z       +x
        |         |                                     | -0.50    -100.00

