Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 11.04   | too far from path                   | -z       +y       -x       +z       +y       +z       -z       -z       +0       +y       +0       +y       +x       +y       -y       -x       -y       -z       +0       +x       -y       +x
        |         |                                     | -0.02    1.76     -0.99    1.24     1.80     1.42     -0.22    1.82     1.81     1.38     1.39     1.18     1.15     -1.47    1.03     0.78     1.21     1.27     1.28     1.43     1.80     -10.00

E2      | -8.33   | too far from path                   | -y       -y       +z
        |         |                                     | -0.12    1.79     -10.00

E3      | -8.36   | too far from path                   | -x       +y       +x
        |         |                                     | -0.06    1.70     -10.00

E4      | -8.48   | too far from path                   | +y       -y       +z
        |         |                                     | -0.07    1.59     -10.00

