Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 1106.81 | reached destination                 | -z       +z       +x       +0       +z       -y       -y       +x       +z       +x       +0       +0       +z       +y       +x       -y       +0       -z       +y       -y       -x       +y       +z       +y       +0       +z       -z       +x       +0       +0       +0       +x       -y       +0       +x       -x       +y       -x       +y       -z       +0       +0       +0       +x       -y       +0       -x       +0       -x       +y       +z       +0       +0       -x       +z       -x       -x       +0       -y       -y       +y       -x       -x       +x       -z       -x       -y       -y       +y       -y       -z       -y       +z       -z       -y       -x       +0       +z       +z       -z       +0       -x       -z       +x       +x       +0       -z       +z       +0       -z       +y       +y       -y       +0       -z       +z       -z       +y       -y       -z       -z       +z       -y       +x       +0       +x       -x       -x       +x       +0       +0       +y       +z       -x       +z       -z       +x       +x       +0       +y       -x       +0       +0       +z       -z       +0       +y       -x       -y       +0       -x
        |         |                                     | -0.00    1.97     1.81     1.80     1.80     1.80     -0.31    1.12     1.29     1.46     1.47     1.48     1.75     1.93     1.81     1.80     1.80     1.63     1.47     1.49     1.44     1.28     1.24     1.12     1.12     1.10     -0.83    -1.75    -1.76    -1.77    -1.78    -1.90    -1.91    0.09     0.18     0.39     0.46     0.56     0.62     0.71     0.71     0.72     0.72     0.81     0.99     1.00     1.18     1.19     1.40     1.51     -0.18    1.84     1.85     1.79     1.71     1.57     1.49     1.49     1.36     1.25     1.30     1.22     1.16     1.23     1.23     -0.99    -1.51    0.49     0.40     0.40     0.36     0.32     0.36     0.43     0.56     0.62     0.62     0.74     0.86     1.03     1.04     1.15     1.37     1.74     1.83     1.82     1.58     -0.90    1.05     0.67     0.72     0.74     0.80     0.80     0.92     1.10     1.23     1.47     1.58     1.71     1.69     1.73     1.61     -1.29    -1.31    -1.61    0.45     0.40     0.32     0.32     0.32     0.40     0.36     0.40     0.48     0.58     0.63     0.69     0.70     0.81     0.98     0.99     0.99     1.09     1.26     1.26     1.47     1.75     1.86     1.86     1000.00

E2      | 2.29    | too far from path                   | -y       -x       +z       -y       +0       -y       +0       +y       +z
        |         |                                     | -0.01    1.92     1.97     1.74     1.73     1.64     1.64     1.67     -10.00

E3      | -0.51   | too far from path                   | +x       +y       -y       -z       +0       -y       -z
        |         |                                     | -0.00    1.90     1.88     1.89     1.89     1.93     -10.00

E4      | 0.97    | too far from path                   | +x       +0       +x       +y       -x       +0       -y       +y
        |         |                                     | -0.00    2.00     1.80     1.66     1.78     1.78     1.95     -10.00

