Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -117.50 | dist2path{68.71}>thresh_dist{4.00}  | -z       +z       +y       -z       -y       +x       +z       +y       -z       +x       -x       -z       -z       +x       -z       +x       -y       +x       +0       -z       +y       +z       -z       -z       +x
        |         |                                     | -5.50    -5.35    -4.88    7.55     13.96    13.79    13.29    11.98    7.18     -4.39    -5.41    2.62     -2.24    -0.24    -10.35   -20.75   -24.08   -24.41   -5.63    -16.73   2.73     -1.93    -23.62   -25.08   -10.00

E2      | -63.16  | dist2path{76.58}>thresh_dist{4.00}  | -y       -x       -z       +z       -y       +y       +y
        |         |                                     | -5.50    -5.83    -5.90    -8.98    -12.03   -14.93   -10.00

E3      | -100.00 | collision                           | +x
        |         |                                     | -100.00

E4      | -131.29 | dist2path{68.98}>thresh_dist{4.00}  | +z       +0       -x       -z       -z       -y       +x       -x       +y       -x       +x       +z       -x       -x       +y       +y       +z       -y       -z       +0       +x       +0       +0       +z       +0       -x       +x       -y       -z       +y       -y       -x
        |         |                                     | -5.50    -5.50    -5.87    -4.28    7.95     13.72    13.75    12.68    12.04    7.10     -3.94    -5.94    2.46     3.02     0.31     -8.78    -21.32   -24.20   -25.03   -5.85    -15.42   -0.45    -0.46    4.34     -0.57    -8.13    3.46     -8.04    -6.88    -21.14   -24.84   -10.00

E5      | -74.39  | dist2path{75.45}>thresh_dist{4.00}  | +y       +x       +z       -x       -y       -y       -y       +z       +0       -x
        |         |                                     | -5.50    -4.87    -6.71    -2.32    -3.70    -8.69    -12.33   -14.69   -5.59    -10.00

E6      | -64.56  | dist2path{77.13}>thresh_dist{4.00}  | +0       -y       -z       -x       -z       +z       +y       -x
        |         |                                     | -0.50    -5.35    -5.35    -7.03    -9.13    -12.15   -15.05   -10.00

E7      | -70.30  | dist2path{76.29}>thresh_dist{4.00}  | +0       +y       -z       -x       +0       +x       -x       -x       -z
        |         |                                     | -0.50    -5.33    -5.42    -7.05    -5.52    -8.51    -12.91   -15.06   -10.00

