Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -242.28 | dist2path{64.50}>thresh_dist{4.00}  | +y       -x       +x       -y       -z       -x       +0       -y       +0       -y       -y       +z       -y       +y       -y       -z       +y       -y       +y       +0       +z       +z       +z       -y       +z       -z       -x       -z       +0       +x       +y       +z       +0       +y       +0       +y       +y       -x       +0       -z       +0       +0       +y       -x       +z       +0       +0       -x       +z       +x
        |         |                                     | -0.50    -5.33    -5.35    -5.55    -0.77    -0.35    -0.42    -1.26    -5.18    2.56     4.24     4.37     4.20     4.34     4.13     4.05     3.56     3.02     1.96     -5.30    0.03     -3.45    -7.45    -3.41    -2.31    -0.30    -1.59    0.33     -5.33    -1.94    -7.77    -11.95   -5.73    -14.00   -5.97    -14.71   -15.26   -15.48   -5.85    -15.61   -5.98    -5.81    -15.66   -15.39   -15.34   -5.85    -5.80    -15.65   -15.49   -10.00

E2      | -220.92 | dist2path{60.06}>thresh_dist{4.00}  | +0       -y       -x       +z       -z       +0       -x       -z       +0       -x       -y       +0       +z       +z       -x       +z       +0       +0       -x       -y       +0       -z       -z       +z       +z       -y       -z       +0       +y       -x       +x       +0       -y       +y       -x       +x       -y       +y       -y       -x       -y       +x       -x       +y       +x       +y       +x       +0       -x       -z
        |         |                                     | -0.50    -0.50    -0.44    -5.31    -5.40    -5.50    -5.64    -0.81    -0.50    -0.14    -1.70    -5.31    1.87     4.15     4.35     4.19     -5.20    -5.16    4.33     4.07     -5.21    3.93     3.72     3.02     2.06     0.24     -3.12    -5.49    -7.20    -3.28    -1.87    -0.52    -0.10    -1.57    0.27     -2.28    -8.17    -12.09   -14.26   -14.91   -15.12   -15.01   -11.58   -15.30   -15.75   -15.34   -15.37   -5.80    -15.64   -10.00

E3      | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E4      | -100.50 | collision                           | +z       -x
        |         |                                     | -0.50    -100.00

E5      | -100.50 | collision                           | -y       -x
        |         |                                     | -0.50    -100.00

E6      | -100.50 | collision                           | -x       -x
        |         |                                     | -0.50    -100.00

E7      | -100.50 | collision                           | -y       -y
        |         |                                     | -0.50    -100.00

E8      | -100.50 | collision                           | -z       +x
        |         |                                     | -0.50    -100.00

E9      | -100.50 | collision                           | -y       -x
        |         |                                     | -0.50    -100.00

E10     | -100.00 | collision                           | +z
        |         |                                     | -100.00

E11     | -208.90 | dist2path{62.47}>thresh_dist{4.00}  | +0       +y       +0       -x       -x       -x       -y       +y       -x       +y       +x       +0       +z       +x       +0       -y       -z       -y       -y       -x       -z       +x       +0       -z       +x       -z       +z       +0       +0       -y       -x       -z       +x       -x       +z       +y       -z       +z       +y       +z       +x       -x       +x       +z       -x       +0       +y       +z
        |         |                                     | -0.50    -0.50    -0.50    -0.43    -5.30    -5.42    -5.66    -0.82    -0.14    -1.71    1.45     -5.04    4.04     4.38     -5.20    4.19     4.33     4.09     3.91     3.76     3.12     2.15     -5.29    0.35     -2.79    -6.84    -3.36    -0.53    -0.56    -1.54    -0.13    -1.64    0.06     -2.43    -8.24    -12.33   -13.91   -14.86   -15.02   -15.25   -15.48   -15.66   -15.58   -15.17   -15.49   -5.80    -15.61   -10.00

E12     | -100.50 | collision                           | +x       -x
        |         |                                     | -0.50    -100.00

E13     | -100.50 | collision                           | -x       +x
        |         |                                     | -0.50    -100.00

E14     | -100.50 | collision                           | +x       -y
        |         |                                     | -0.50    -100.00

E15     | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

E16     | -237.65 | dist2path{60.36}>thresh_dist{4.00}  | +0       -x       +0       +y       -x       -y       +x       +0       -y       +z       -z       -x       +x       +y       +0       -y       +x       +y       -y       +y       -y       +x       -x       +x       +z       -y       +z       -x       +z       +x       +0       -x       +x       +y       +0       +0       +x       -y       +z       +x       +y       -z       +x       -z       -z       -y       +y       +0       -z       +z       +z       -x       +y       -y       -z       -y
        |         |                                     | -0.50    -0.50    -0.50    -0.42    -5.31    -5.42    -5.65    -5.51    -0.78    -0.12    -1.81    1.49     3.86     4.39     -5.20    4.15     4.20     4.25     3.93     3.68     3.15     2.25     0.62     -2.35    -6.47    -8.53    -2.35    -0.85    -2.95    -0.16    -5.28    -0.53    -6.01    -10.77   -5.84    -5.75    -13.76   -14.64   -15.20   -15.24   -15.58   -15.65   -15.08   -5.62    -1.74    0.83     -0.31    -5.41    6.58     1.67     -7.33    -11.59   -15.09   -15.36   -15.52   -10.00

E17     | -244.56 | dist2path{65.07}>thresh_dist{4.00}  | +0       -x       +z       +x       +x       -x       -x       -z       +y       +x       +y       -z       +y       -x       -y       +x       +x       -y       -x       +0       +x       +x       -y       +x       +y       -x       +z       +x       +z       +x       -y       -y       +x       -x       +y       +x       +0       +y       +y       -x       -z       +x       -y       -z       +x       +y       -x       +y       +0       +x       +0       +z       +x       -y
        |         |                                     | -0.50    -0.50    -0.45    -5.31    -5.39    -5.62    -0.80    -0.33    -1.66    1.57     4.11     4.25     4.19     4.19     4.28     3.92     3.65     3.19     2.27     -5.28    0.63     -2.49    -6.53    -8.44    -2.21    -0.82    -2.72    -0.16    -0.86    -6.38    -10.94   -13.77   -14.43   -15.17   -15.39   -15.43   -5.98    -15.47   -15.20   -5.52    -1.79    -4.09    -0.11    6.45     1.73     -6.24    -10.53   -14.27   -5.97    -15.46   -5.80    -15.51   -15.49   -10.00

E18     | -209.42 | dist2path{63.88}>thresh_dist{4.00}  | +y       +0       -x       -y       +0       +y       +z       +0       +z       -z       +x       -x       -y       -x       -x       -z       +x       +y       +0       -y       +y       -x       +y       -z       -y       -x       +y       +z       +z       +y       -z       +y       -x       +x       -x       +z       -y       +y       +z       -y       -z       +z       -x       -x       +x       +x
        |         |                                     | -0.50    -0.50    -0.45    -5.31    -5.49    -5.41    -5.64    -5.51    -0.79    -0.14    -1.60    1.52     3.81     4.19     4.15     4.33     4.14     3.93     -5.17    3.63     3.15     2.26     0.62     -2.34    -6.44    -8.50    -2.24    -0.23    1.28     -0.22    -1.72    -0.31    -3.21    -9.31    -12.54   -14.36   -14.81   -15.35   -15.37   -15.62   -15.50   -15.44   -15.47   -15.49   -15.43   -10.00

E19     | -245.90 | dist2path{62.84}>thresh_dist{4.00}  | +x       +0       +x       -x       -x       +0       -y       +z       +y       -z       +x       -y       -x       +y       +0       +y       -y       +y       +x       -y       +y       +0       +0       +z       +z       +x       +z       +y       +y       +z       +y       +z       +0       +z       +0       +0       -z       -x       +z       +0       -z       +z       -x       +0       +x       +z       +x       +0       +y       -x       -z
        |         |                                     | -0.50    -0.50    -0.44    -5.31    -5.40    -5.50    -5.64    -0.80    -0.15    -1.84    1.52     3.97     4.19     4.18     -5.20    4.31     4.12     3.92     3.78     3.13     2.28     -5.28    -5.29    0.46     -2.60    -6.62    -8.38    -2.04    -0.67    -2.46    -0.00    -1.16    -5.43    -7.34    -5.65    -5.71    -11.78   -14.00   -14.80   -5.79    -15.26   -15.46   -15.61   -5.85    -15.67   -15.36   -15.35   -5.85    -15.46   -15.59   -10.00

E20     | -100.00 | collision                           | -x
        |         |                                     | -100.00

E21     | -212.38 | dist2path{62.20}>thresh_dist{4.00}  | +y       +0       +x       -x       +0       -z       -x       -z       +z       -z       +0       -x       +y       -z       +z       +x       -x       +y       -x       +0       +x       +z       +z       +0       -y       +x       +z       -z       -x       -y       -y       -y       +z       -z       -x       -y       +y       +y       -z       -z       +z       -y       +0       +z       -z       +z
        |         |                                     | -0.50    -0.50    -0.45    -5.29    -5.49    -5.42    -5.65    -0.83    -0.14    -1.63    -5.20    2.04     4.22     4.18     4.35     4.15     4.08     3.94     3.75     -5.23    3.06     2.12     0.27     -5.35    -2.98    -7.06    -3.27    -1.86    -0.31    -1.76    0.13     -1.73    -7.59    -11.93   -14.00   -14.70   -15.27   -15.49   -15.62   -15.56   -15.64   -15.15   -5.97    -15.42   -15.67   -10.00

E22     | -100.50 | collision                           | +z       +z
        |         |                                     | -0.50    -100.00

E23     | -100.50 | collision                           | -x       +y
        |         |                                     | -0.50    -100.00

E24     | -100.00 | collision                           | -x
        |         |                                     | -100.00

E25     | -100.50 | collision                           | -x       -x
        |         |                                     | -0.50    -100.00

