Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -242.15 | dist2path{63.08}>thresh_dist{4.00}  | +y       +y       +x       +y       -y       -z       +0       -z       -z       +x       +y       +z       +0       +0       -x       +x       +0       +y       +y       +z       +y       +y       +0       -y       +y       -z       +x       -z       -z       +0       -y       +x       +z       +y       +0       +y       +y       +z       -z       +0       +x       +z       +y       -x       +0       -z       -z       +z       +x       +0       +y       +0       -y
        |         |                                     | -0.50    -5.27    -5.26    -5.42    -0.83    -0.38    -0.43    2.63     0.17     -0.71    2.76     4.43     -5.15    -5.20    4.20     4.31     -5.20    4.16     4.06     3.82     3.42     2.67     -5.27    0.98     -1.47    -5.80    -9.19    -4.01    -2.64    -0.52    -0.72    -3.16    -0.13    1.09     -5.30    -2.15    -8.14    -12.13   -14.33   -5.78    -14.73   -15.24   -15.51   -15.57   -5.98    -15.73   -15.35   -15.16   -15.41   -5.84    -15.38   -5.85    -10.00

E2      | -100.50 | collision                           | -x       -x
        |         |                                     | -0.50    -100.00

E3      | -100.50 | collision                           | +x       +x
        |         |                                     | -0.50    -100.00

E4      | -100.50 | collision                           | -y       +z
        |         |                                     | -0.50    -100.00

