Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -190.00 | dist2path{64.91}>thresh_dist{4.00}  | -x       -x       -x       +x       -z       -y       -y       +z       -x       +z       +0       +x       -y       +x       +x       +y       +x       +z       -x       -x       +x       -y       +z       -x       +y       -y       -y       -z       +x       -x       +0       +x       -x       -x       +y       +z       -x       +y       -x       -y       -x       -z
        |         |                                     | 0.00     -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -10.00

E2      | -100.00 | collision                           | +z       -z
        |         |                                     | 0.00     -100.00

E3      | -100.00 | collision                           | -y       +y
        |         |                                     | 0.00     -100.00

E4      | -195.00 | dist2path{63.56}>thresh_dist{4.00}  | +0       +y       +y       +z       +x       +y       -z       -z       +x       +x       +z       +z       +y       -z       +z       -z       +z       -z       +y       -y       -y       +0       -x       -x       -x       -z       -y       -y       +0       +x       -y       -z       -x       -z       +x       -y       -z       +x       -y       +x       -x       +0       -y       +y       -x
        |         |                                     | 0.00     0.00     0.00     -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -10.00

E5      | -100.00 | collision                           | +z       -z
        |         |                                     | 0.00     -100.00

E6      | -100.00 | collision                           | +y       -z
        |         |                                     | 0.00     -100.00

E7      | -100.00 | collision                           | +z       -y
        |         |                                     | 0.00     -100.00

E8      | -100.00 | collision                           | -y       +x
        |         |                                     | 0.00     -100.00

E9      | -100.00 | collision                           | -x
        |         |                                     | -100.00

E10     | -100.00 | collision                           | +z       -x
        |         |                                     | 0.00     -100.00

E11     | -100.00 | collision                           | +x       +x
        |         |                                     | 0.00     -100.00

E12     | -100.00 | collision                           | -z       -x
        |         |                                     | 0.00     -100.00

E13     | -100.00 | collision                           | +y       -y
        |         |                                     | 0.00     -100.00

E14     | -205.00 | dist2path{60.43}>thresh_dist{4.00}  | +z       +0       -x       -z       -z       +x       -y       -y       +y       +y       +x       +0       +0       +z       -y       +x       +0       +y       -z       +y       +x       -y       +0       +z       +y       -z       +y       +y       -y       +z       +z       -y       -y       -y       +x       +y       +0       +y       -z       +0       +y       -z       -y       -y       -z       -z       -z
        |         |                                     | 0.00     0.00     0.00     -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -10.00

E15     | -100.00 | collision                           | +z       -y
        |         |                                     | 0.00     -100.00

E16     | -100.00 | collision                           | +0       +z       -x
        |         |                                     | 0.00     0.00     -100.00

E17     | -100.00 | collision                           | -z       -z
        |         |                                     | 0.00     -100.00

E18     | -215.00 | dist2path{65.53}>thresh_dist{4.00}  | +0       +0       -y       +x       -x       -x       +z       -z       -x       +x       -z       -x       +z       +y       -y       -x       +y       +0       +z       +x       -z       +x       -y       -z       -x       +y       +x       -x       -y       +0       +x       -y       +0       -y       -x       +0       -z       +y       -x       -y       -z       +0       +0       -z       +y       +0       +y       -z       +y       -x
        |         |                                     | 0.00     0.00     0.00     0.00     -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    0.00     0.00     -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -5.00    -10.00

