Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 40.46   | too far from path                   | +z       -y       +z       +y       -y       -y       +x       -x       -x       -x       +z       +z       +y       -z       +0       -y       -x       -y       +y       -y       +0       -z       +y       +x       +0       +x       +z       +x       +0       +y       -y       +0       -z       +z       +y       -x       +y       -z       +x       -z       +0       +y       +0       +y       +z       +0       -x
        |         |                                     | -0.04    1.69     -0.22    1.43     1.71     1.70     1.56     1.48     1.32     1.17     -1.43    1.53     0.93     1.58     1.54     0.70     1.57     1.56     1.48     1.85     1.84     -0.33    1.75     1.86     1.86     1.81     1.48     1.38     1.37     -1.47    0.45     -1.49    -1.36    0.61     0.86     1.83     0.83     1.28     1.49     1.43     1.45     1.67     1.68     1.84     1.60     1.60     -10.00

E2      | -4.96   | too far from path                   | +x       +0       +0       -x       -z
        |         |                                     | -0.14    1.85     1.85     1.47     -10.00

E3      | -4.63   | too far from path                   | +y       +0       -z       +0       -y
        |         |                                     | -0.13    1.87     1.81     1.82     -10.00

E4      | -8.51   | too far from path                   | +x       -x       -y
        |         |                                     | -0.12    1.61     -10.00

