Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 12.78   | too far from path                   | -z       -y       +z       -x       +x       -z       +z       -y       +y       -z       +x       +z       +z       -x       +y       +x       +y       +z       -x       +z       +x       -x       +x       -x       -x
        |         |                                     | -0.06    1.65     -1.07    0.77     0.94     0.92     1.28     1.36     1.12     -0.66    1.14     1.54     1.34     -0.46    1.26     1.24     1.33     1.56     -0.32    1.77     1.86     1.50     1.54     1.24     -10.00

E2      | 1.72    | too far from path                   | +y       +0       -x       -x       -z       +z       +x       +y       +x       -z       +x
        |         |                                     | -0.00    -0.00    2.00     2.00     2.00     -0.00    2.00     -0.00    2.00     1.73     -10.00

E3      | -10.03  | too far from path                   | +z       +x
        |         |                                     | -0.03    -10.00

E4      | -10.04  | too far from path                   | -z       +z
        |         |                                     | -0.04    -10.00

E5      | -10.03  | too far from path                   | +z       -x
        |         |                                     | -0.03    -10.00

E6      | -10.04  | too far from path                   | +z       +z
        |         |                                     | -0.04    -10.00

