Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 9.68    | too far from path                   | +x       +y       -x       +x       +0       -z       +x       +x       +0       -x       -x       +x       -z       +0       +x       -x       -x       +z       -z       +x
        |         |                                     | -0.23    1.55     -1.00    1.33     1.33     1.18     1.39     1.40     1.40     1.39     1.28     1.14     -1.03    0.98     1.43     1.38     1.54     1.56     1.67     -10.00

E2      | -8.46   | too far from path                   | +y       +x       +x
        |         |                                     | -0.13    1.67     -10.00

E3      | -8.50   | too far from path                   | +x       +y       +y
        |         |                                     | -0.13    1.62     -10.00

E4      | -8.39   | too far from path                   | -y       -x       -x
        |         |                                     | -0.05    1.67     -10.00

E5      | -8.12   | too far from path                   | +z       -z       +y
        |         |                                     | -0.05    1.93     -10.00

E6      | -8.41   | too far from path                   | +z       +x       -y
        |         |                                     | -0.05    1.64     -10.00

