Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | -191.09 | dist2path{64.55}>thresh_dist{4.00}  | -z       +z       -z       +0       +y       +z       -x       +z       +z       +z       -z       -y       +x       +x       +0       +z       -y       -z       +x       +y       -y       -y       +y       -x       -y       -y       -y       -z       +y       -z       -x       +z       -x       +x       -x       -z       +x       -z
        |         |                                     | -5.50    -5.39    -5.69    -5.53    -0.70    -3.94    0.87     4.81     5.26     4.95     5.00     4.98     4.65     4.27     -4.65    3.34     2.12     -0.36    -4.34    -8.48    -3.46    -1.49    2.15     -2.03    0.54     -3.73    -9.97    -13.59   -15.12   -15.88   -16.25   -16.11   -16.99   -16.18   -16.12   -16.31   -16.23   -10.00

E2      | -243.03 | dist2path{65.43}>thresh_dist{4.00}  | +0       -y       -x       -x       +0       -x       +y       +x       +z       +z       -x       +0       +0       -x       +x       +0       +0       +z       -z       -x       -z       -y       +z       +z       +0       +x       +0       -x       -x       -x       -z       +0       -z       +0       +z       +y       -z       -z       -z       +0       +z       +x       +0       -z       -x       +y       -z       +0       -z
        |         |                                     | -0.50    -0.48    -5.61    -5.60    -5.50    -5.80    -0.77    0.04     -1.02    3.90     5.24     -4.59    -4.25    4.80     5.22     -4.58    -4.37    5.10     4.68     4.26     3.66     2.28     0.04     -4.12    -5.68    -8.83    -5.56    -3.36    -1.72    -3.02    1.11     -4.76    -0.95    -5.38    -7.96    -13.17   -15.29   -15.71   -16.29   -6.75    -16.25   -16.23   -6.78    -16.51   -16.09   -16.45   -16.32   -7.13    -10.00

E3      | -193.06 | dist2path{60.74}>thresh_dist{4.00}  | +x       -x       -z       +y       +0       -z       -z       -x       -y       -y       +z       -z       -z       -x       -z       -z       -y       -x       +0       -y       -x       +0       +y       +x       +0       +y       -z       -z       +x       +y       +z       -z       +x       +0       -y       -y       +z       +y       +0       +z       -z       -z       +z       +y       -x
        |         |                                     | -0.50    -5.61    -5.40    -5.59    -5.54    -0.93    -0.06    -1.26    2.68     4.90     4.65     4.79     4.82     4.50     4.58     3.95     3.14     1.52     -4.77    -1.65    -6.03    -5.72    -3.22    -1.67    -0.54    0.41     -0.03    1.05     -0.39    -0.89    0.19     -6.33    -11.79   -6.49    -14.64   -15.75   -15.83   -16.00   -6.36    -16.05   -16.36   -16.09   -16.34   -16.40   -10.00

E4      | -210.38 | dist2path{62.26}>thresh_dist{4.00}  | +y       +z       +0       +x       +z       +z       +0       +y       -z       -x       +y       -z       -y       +x       -x       -z       +z       +x       +0       +0       -y       +y       +0       -x       +z       +0       -y       +y       -x       +z       -x       +0       +0       +y       +x       -z       -x       +z       -z       +y       +0       +0       -z       -z       -x
        |         |                                     | -0.50    -5.38    -5.48    -5.08    -5.58    -0.80    -0.51    -0.22    -1.29    2.80     5.23     4.85     5.22     5.00     4.41     4.20     4.05     3.12     -4.80    -4.68    0.87     -2.38    -5.47    -7.45    -3.16    -0.60    -0.44    -1.07    0.01     -4.77    -11.26   -6.18    -6.28    -14.35   -15.41   -16.07   -16.35   -16.55   -16.65   -16.26   -6.41    -6.80    -15.54   -16.39   -10.00

E5      | -229.73 | dist2path{66.60}>thresh_dist{4.00}  | -y       -z       +0       +x       +0       +x       +y       -x       -z       -x       +y       -x       -y       +x       +0       +x       -z       -z       -x       +x       -z       -y       +x       +z       +x       +x       +x       +x       -x       +0       +y       +x       +z       -y       -x       -x       +z       -z       +y       +y       +0       -z       +x       -x       -y       +y       -z       +0       -z       +x       +y
        |         |                                     | -0.50    -5.33    -5.47    -5.13    -5.50    -5.58    -0.77    -0.17    -0.62    3.82     5.18     5.23     5.08     5.27     -4.59    4.71     4.04     3.59     2.33     0.62     -2.94    -7.38    -3.07    -1.02    0.58     -0.03    -3.27    0.60     -2.48    -5.61    -9.80    -13.50   -15.04   -16.03   -16.35   -16.25   -16.57   -15.77   -4.63    -0.36    -5.11    0.34     7.01     0.58     -9.07    -15.08   -16.59   -6.50    -16.48   -16.11   -10.00

E6      | -100.00 | collision                           | +x
        |         |                                     | -100.00

E7      | -203.36 | dist2path{64.20}>thresh_dist{4.00}  | -x       -x       -z       +x       +x       -x       +x       +z       -z       -y       -z       +0       -z       -x       -x       -z       -x       -y       -z       +y       +y       +0       -z       +y       -x       +y       -z       -y       +y       +y       -x       +y       +y       -z       +z       +y       -x       +y       +z       +z       -x       +x       -z       +0       -y       +0       +x
        |         |                                     | -0.50    -5.72    -5.19    -5.48    -0.54    -0.00    -0.00    4.69     5.44     5.05     5.31     -4.43    4.62     4.31     4.03     3.58     2.35     0.09     -3.56    -7.49    -2.65    -0.60    -0.49    2.75     -5.13    -0.23    -1.70    -8.73    -13.13   -15.24   -16.03   -16.32   -15.54   -16.49   -15.94   -10.96   -15.78   -4.05    0.08     -11.61   -15.76   -2.95    0.62     -0.52    -7.39    -6.12    -10.00

E8      | -209.12 | dist2path{64.57}>thresh_dist{4.00}  | +z       -z       -x       +y       -z       -z       +0       +z       -z       +x       -y       -y       -z       -z       +y       +0       +0       -z       -x       +z       -z       +0       -z       -z       +z       -x       -x       +z       +x       +y       -z       +0       -z       +y       +0       +y       -z       -y       +x       -z       +x       -y
        |         |                                     | -0.50    -5.32    -5.55    -5.61    -0.89    0.27     -5.17    0.84     4.36     5.10     4.80     4.68     4.73     4.77     4.39     -4.39    -4.60    3.59     2.06     0.02     -4.37    -5.65    -8.99    -2.98    -0.51    -0.72    1.28     -3.52    -10.18   -13.82   -15.49   -6.51    -15.62   -15.98   -6.58    -16.47   -16.43   -16.01   -15.71   -16.42   -15.98   -10.00

